niche,time,dpi,condition,pathway,interaction_class,lr_score
N1_sfrpEGC_VLMC,0.0,2,inj,SEMA5,Cell-Cell Contact,13.740577694613005
N1_sfrpEGC_VLMC,0.0,2,inj,SEMA6,Cell-Cell Contact,5.647609836021859
N1_sfrpEGC_VLMC,0.0,2,inj,SEMATOSTATIN,Secreted Signaling,0.769823549834568
N1_sfrpEGC_VLMC,0.0,2,inj,TAC,Secreted Signaling,0.010951623321362567
N1_sfrpEGC_VLMC,0.0,2,inj,TENASCIN,ECM-Receptor,14.974659873510657
N1_sfrpEGC_VLMC,0.0,2,inj,TGFb,Secreted Signaling,0.06580758619377193
N1_sfrpEGC_VLMC,0.0,2,inj,THBS,ECM-Receptor,13.933064466836992
N1_sfrpEGC_VLMC,0.0,2,inj,THY1,Cell-Cell Contact,0.0024484615616311954
N1_sfrpEGC_VLMC,0.0,2,inj,UCN,Secreted Signaling,0.029097227891334038
N1_sfrpEGC_VLMC,0.0,2,inj,UROTENSIN,Secreted Signaling,0.0
N1_sfrpEGC_VLMC,0.0,2,inj,VEGF,Secreted Signaling,0.376600261724243
N1_sfrpEGC_VLMC,0.0,2,inj,VIP,Secreted Signaling,0.0004758223275371129
N1_sfrpEGC_VLMC,0.0,2,inj,VISTA,Cell-Cell Contact,0.5957062299648308
N1_sfrpEGC_VLMC,0.0,2,inj,WNT,Secreted Signaling,22.515936312432977
N1_sfrpEGC_VLMC,0.0,2,inj,ncWNT,Secreted Signaling,0.611776270570704
N2_reaEGC_wntEGC,0.0,2,inj,ACTIVIN,Secreted Signaling,0.00784050987187962
N2_reaEGC_wntEGC,0.0,2,inj,ADIPONECTIN,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,inj,AGRN,ECM-Receptor,0.5414909931923191
N2_reaEGC_wntEGC,0.0,2,inj,AGT,Secreted Signaling,0.002871048915673675
N2_reaEGC_wntEGC,0.0,2,inj,ANGPT,Secreted Signaling,0.001061852349617884
N2_reaEGC_wntEGC,0.0,2,inj,ANGPTL,Secreted Signaling,5.705770532209146
N2_reaEGC_wntEGC,0.0,2,inj,BAG,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,inj,BMP,Secreted Signaling,0.019356975597893497
N2_reaEGC_wntEGC,0.0,2,inj,CALCR,Secreted Signaling,0.027934302276643022
N2_reaEGC_wntEGC,0.0,2,inj,CCK,Secreted Signaling,0.008065448698140508
N2_reaEGC_wntEGC,0.0,2,inj,CCL,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,inj,CD34,Cell-Cell Contact,0.0005181262643103952
N2_reaEGC_wntEGC,0.0,2,inj,CD40,Secreted Signaling,0.00043604814367595966
N2_reaEGC_wntEGC,0.0,2,inj,CD45,Cell-Cell Contact,0.0007100814663595224
N2_reaEGC_wntEGC,0.0,2,inj,CDH,Cell-Cell Contact,5.132492319447155
N2_reaEGC_wntEGC,0.0,2,inj,CDH1,Cell-Cell Contact,0.0
N2_reaEGC_wntEGC,0.0,2,inj,CDH5,Cell-Cell Contact,0.0015925004584054522
N2_reaEGC_wntEGC,0.0,2,inj,CLDN,Cell-Cell Contact,0.004411840691989432
N2_reaEGC_wntEGC,0.0,2,inj,CNTN,Cell-Cell Contact,1.7312147185745521
N2_reaEGC_wntEGC,0.0,2,inj,COLLAGEN,ECM-Receptor,2.113977604151139
N2_reaEGC_wntEGC,0.0,2,inj,CSPG4,Cell-Cell Contact,0.0
N2_reaEGC_wntEGC,0.0,2,inj,CXCL,Secreted Signaling,0.003106016710180959
N2_reaEGC_wntEGC,0.0,2,inj,EDN,Secreted Signaling,0.04813012941303133
N2_reaEGC_wntEGC,0.0,2,inj,EGF,Secreted Signaling,0.236411893780545
N2_reaEGC_wntEGC,0.0,2,inj,EPHA,Cell-Cell Contact,3.7779324534628014
N2_reaEGC_wntEGC,0.0,2,inj,EPHB,Cell-Cell Contact,1.9144246252846806
N2_reaEGC_wntEGC,0.0,2,inj,ESAM,Cell-Cell Contact,6.726445130100744e-05
N2_reaEGC_wntEGC,0.0,2,inj,FGF,Secreted Signaling,0.2489362093904691
N2_reaEGC_wntEGC,0.0,2,inj,FN1,ECM-Receptor,0.6703666698960029
N2_reaEGC_wntEGC,0.0,2,inj,GALANIN,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,inj,GAS,Secreted Signaling,0.526356400728176
N2_reaEGC_wntEGC,0.0,2,inj,GDF,Secreted Signaling,0.037332172590804895
N2_reaEGC_wntEGC,0.0,2,inj,GDNF,Secreted Signaling,0.0005578780228453167
N2_reaEGC_wntEGC,0.0,2,inj,GPR,Secreted Signaling,0.03543098012080816
N2_reaEGC_wntEGC,0.0,2,inj,GRN,Secreted Signaling,0.6197954137472288
N2_reaEGC_wntEGC,0.0,2,inj,HH,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,inj,HSPG,ECM-Receptor,0.04229822852396657
N2_reaEGC_wntEGC,0.0,2,inj,JAM,Cell-Cell Contact,0.9714343710402049
N2_reaEGC_wntEGC,0.0,2,inj,L1CAM,Cell-Cell Contact,2.77776134837241
N2_reaEGC_wntEGC,0.0,2,inj,LAMININ,ECM-Receptor,4.0661379580040995
N2_reaEGC_wntEGC,0.0,2,inj,MAG,Cell-Cell Contact,0.0
N2_reaEGC_wntEGC,0.0,2,inj,MPZ,Cell-Cell Contact,0.011226116728333315
N2_reaEGC_wntEGC,0.0,2,inj,MSTN,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,inj,NCAM,Cell-Cell Contact,1.4204406746419191
N2_reaEGC_wntEGC,0.0,2,inj,NEGR,Cell-Cell Contact,0.034324428490294344
N2_reaEGC_wntEGC,0.0,2,inj,NGL,Cell-Cell Contact,0.10775674524444677
N2_reaEGC_wntEGC,0.0,2,inj,NMU,Secreted Signaling,0.0010485009286378614
N2_reaEGC_wntEGC,0.0,2,inj,NOTCH,Cell-Cell Contact,0.008590498896323878
N2_reaEGC_wntEGC,0.0,2,inj,NPFF,Secreted Signaling,0.001458325405698882
N2_reaEGC_wntEGC,0.0,2,inj,NPR2,Secreted Signaling,0.001497313859728283
N2_reaEGC_wntEGC,0.0,2,inj,NPW-B,Secreted Signaling,0.0002585534292098953
N2_reaEGC_wntEGC,0.0,2,inj,NPY,Secreted Signaling,0.08161494310305364
N2_reaEGC_wntEGC,0.0,2,inj,NRG,Secreted Signaling,0.38759554296343357
N2_reaEGC_wntEGC,0.0,2,inj,NRXN,Cell-Cell Contact,3.9336374528026177
N2_reaEGC_wntEGC,0.0,2,inj,NTS,Secreted Signaling,0.09132662858711875
N2_reaEGC_wntEGC,0.0,2,inj,PARs,Secreted Signaling,0.0068748902225677765
N2_reaEGC_wntEGC,0.0,2,inj,PDGF,Secreted Signaling,0.007665426632051409
N2_reaEGC_wntEGC,0.0,2,inj,PECAM1,Cell-Cell Contact,9.257638664937479e-05
N2_reaEGC_wntEGC,0.0,2,inj,PROS,Secreted Signaling,0.11323759358258842
N2_reaEGC_wntEGC,0.0,2,inj,PSAP,Secreted Signaling,3.3158176661160437
N2_reaEGC_wntEGC,0.0,2,inj,PTH,Secreted Signaling,0.00043654752872236257
N2_reaEGC_wntEGC,0.0,2,inj,PTPRM,Cell-Cell Contact,0.01662305951997821
N2_reaEGC_wntEGC,0.0,2,inj,RELN,ECM-Receptor,0.022181961179835057
N2_reaEGC_wntEGC,0.0,2,inj,SEMA3,Secreted Signaling,0.8534866605436746
N2_reaEGC_wntEGC,0.0,2,inj,SEMA4,Cell-Cell Contact,0.645566828877176
N2_reaEGC_wntEGC,0.0,2,inj,SEMA5,Cell-Cell Contact,3.357723797117137
N2_reaEGC_wntEGC,0.0,2,inj,SEMA6,Cell-Cell Contact,1.415729604941679
N2_reaEGC_wntEGC,0.0,2,inj,SEMATOSTATIN,Secreted Signaling,0.34312755523561744
N2_reaEGC_wntEGC,0.0,2,inj,TAC,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,inj,TENASCIN,ECM-Receptor,9.009521596246277
N2_reaEGC_wntEGC,0.0,2,inj,TGFb,Secreted Signaling,0.006773179974348522
