time_index,time,celltype,count,fraction,total
5,2.5,ribEGC,22,0.002271788517141677,9684
5,2.5,scgnIN,17,0.001755472945064023,9684
5,2.5,sfrpEGC,962,0.09933911606774061,9684
5,2.5,sstIN,420,0.04337050805452292,9684
5,2.5,tlNBL,39,0.0040272614622057,9684
5,2.5,wntEGC,152,0.01569599339116068,9684
6,3.0,CMPN,1202,0.12426341362555567,9673
6,3.0,CP,272,0.028119507908611598,9673
6,3.0,IMN,318,0.032875012922567975,9673
6,3.0,MCG,205,0.02119301147524036,9673
6,3.0,MSN,859,0.0888038871084462,9673
6,3.0,Unknown,43,0.004445363382611392,9673
6,3.0,VLMC,1406,0.14535304455701437,9673
6,3.0,cckIN,318,0.032875012922567975,9673
6,3.0,dpEX,254,0.026258658120541713,9673
6,3.0,mpEX,588,0.06078775974361625,9673
6,3.0,nptxEX,536,0.05541197146696992,9673
6,3.0,npyIN,317,0.03277163237878631,9673
6,3.0,ntng1IN,340,0.0351493848857645,9673
6,3.0,rIPC1,189,0.019538922774733795,9673
6,3.0,rIPC2,268,0.02770598573348496,9673
6,3.0,reaEGC,512,0.05293083841621007,9673
6,3.0,ribEGC,358,0.03701023467383439,9673
6,3.0,scgnIN,317,0.03277163237878631,9673
6,3.0,sfrpEGC,393,0.04062855370619249,9673
6,3.0,sstIN,547,0.05654915744856818,9673
6,3.0,wntEGC,431,0.044557014369895585,9673
7,3.5,CMPN,1352,0.1347284504235177,10035
7,3.5,IMN,261,0.02600896860986547,10035
7,3.5,MCG,103,0.010264075734927753,10035
7,3.5,MSN,2523,0.2514200298953662,10035
7,3.5,Unknown,14,0.0013951170901843547,10035
7,3.5,VLMC,1136,0.11320378674638765,10035
7,3.5,dpEX,671,0.06686596910812158,10035
7,3.5,mpEX,1012,0.10084703537618336,10035
7,3.5,mpIN,8,0.0007972097658196312,10035
7,3.5,nptxEX,812,0.08091679123069258,10035
7,3.5,npyIN,57,0.005680119581464873,10035
7,3.5,ntng1IN,57,0.005680119581464873,10035
7,3.5,rIPC1,1,9.96512207274539e-05,10035
7,3.5,rIPC2,29,0.0028898854010961633,10035
7,3.5,rIPC4,9,0.0008968609865470852,10035
7,3.5,reaEGC,76,0.007573492775286498,10035
7,3.5,ribEGC,46,0.00458395615346288,10035
7,3.5,sfrpEGC,974,0.0970602889885401,10035
7,3.5,sstIN,216,0.021524663677130046,10035
7,3.5,tlNBL,29,0.0028898854010961633,10035
7,3.5,wntEGC,649,0.0646736422521176,10035
8,4.0,CMPN,848,0.07493814068575469,11316
8,4.0,IMN,369,0.03260869565217391,11316
8,4.0,MCG,105,0.009278897136797455,11316
8,4.0,MSN,1759,0.15544361965358783,11316
8,4.0,Unknown,40,0.003534817956875221,11316
8,4.0,VLMC,1384,0.12230470130788264,11316
8,4.0,cckIN,425,0.03755744079179922,11316
8,4.0,dpEX,582,0.05143160127253447,11316
8,4.0,mpEX,874,0.07723577235772358,11316
8,4.0,mpIN,150,0.013255567338282079,11316
8,4.0,nptxEX,818,0.07228702721809827,11316
8,4.0,npyIN,295,0.026069282431954756,11316
8,4.0,ntng1IN,198,0.017497348886532343,11316
8,4.0,obNBL,234,0.020678685047720042,11316
8,4.0,rIPC4,556,0.04913396960056557,11316
8,4.0,scgnIN,194,0.01714386709084482,11316
8,4.0,sfrpEGC,337,0.029780841286673736,11316
8,4.0,sstIN,246,0.021739130434782608,11316
8,4.0,tlNBL,934,0.08253799929303642,11316
8,4.0,wntEGC,968,0.08554259455638034,11316
