"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","pattern","significant_fdr_0p05"
"GO:0061919","process utilizing autophagic mechanism","41/1205","49/1691",0.0321012974436513,0.999985291063607,0.999985291063607,"Acer2/Arsa/Aup1/Clu/Dap/Dcn/Ddrgk1/Dram1/Dram2/Drd2/Efnb1/Ephb2/Gaa/Gfap/Hmox1/Il10ra/Ilrun/Irf8/Itgb4/Kdr/Mul1/Plekhm1/Plk2/Pmp22/Rnf5/Slc7a5/Smo/Snca/Tbc1d17/Tcirg1/Tmbim6/Tmem208/Trem2/Trim32/Trim38/Trim65/Tspo/Usp20/Vamp8/Wdfy4/Wdr45",41,2,FALSE
"GO:0016032","viral process","27/1205","31/1691",0.0321865018509475,0.999985291063607,0.999985291063607,"Axl/Bad/Cav1/Ccl5/Cd74/Csf1r/Cxcr4/Fbln1/Gas6/Ifitm2/Itgb3/Larp7/Lgals1/Lrrc15/Mdfic/Nrp1/Ptx3/Rnasel/Shfl/Siglec1/Snw1/Stat1/Stom/Trim32/Trim38/Tyro3/Vamp8",27,2,FALSE
"GO:0034446","substrate adhesion-dependent cell spreading","27/1205","31/1691",0.0321865018509475,0.999985291063607,0.999985291063607,"Antxr1/Axl/Cib1/Dab2/Efna1/Efna5/Fbln1/Flna/Fn1/Fzd4/Fzd7/Itga8/Itgb3/Itgb7/Lama5/Lamc1/Lamc3/Lpxn/Myadm/Nrp1/Pxn/S100a10/Sfrp1/St6gal1/Tek/Tyro3/Unc13d",27,2,FALSE
"GO:0002221","pattern recognition receptor signaling pathway","15/1205","16/1691",0.0323612105590921,0.999985291063607,0.999985291063607,"Arf6/Atat1/Btk/Cav1/Cd86/Colec12/Irf1/Lyn/Nagk/Nfkbia/Nr1h3/Slc15a3/Tifa/Trem2/Tyro3",15,2,FALSE
"GO:1901605","alpha-amino acid metabolic process","15/1205","16/1691",0.0323612105590921,0.999985291063607,0.999985291063607,"Asl/Bhmt/Cdo1/Fah/Gad2/Gclc/Glud1/Glul/Gstz1/Hgd/Hmgcl/Kmo/Slc7a11/Tat/Ttc36",15,2,FALSE
"GO:0043542","endothelial cell migration","57/1205","70/1691",0.0333587399337758,0.999985291063607,0.999985291063607,"Adgra2/Agt/Amot/Angpt1/Apoh/Ccbe1/Cdh13/Cdh5/Ceacam1/Cib1/Cxcl12/Cxcr4/Dcn/Edn2/Efna1/Egf/Epha2/Ets1/Fgf2/Fgfbp1/Fgfr1/Foxp1/Fstl1/Glul/Grn/Hdac7/Hmox1/Itgb1/Itgb2/Itgb3/Jcad/Kdr/Loxl2/Lpxn/Met/Mmrn2/Nrp1/Pecam1/Pik3cg/Plk2/Plpp3/Plxnd1/Prcp/Prkd2/Pxn/Robo4/Rock2/Sema4a/Serpinf1/Slit2/Snai2/Sparc/Tbxa2r/Tek/Tgfbr1/Thbs1/Wnt7a",57,2,FALSE
"GO:0001578","microtubule bundle formation","10/1205","10/1691",0.0334004299038783,0.999985291063607,0.999985291063607,"Ccdc65/Daw1/Dnaaf2/Dnai1/Drc1/Fes/Gas8/Ift46/Iqcg/Tppp3",10,2,FALSE
"GO:0009199","ribonucleoside triphosphate metabolic process","10/1205","10/1691",0.0334004299038783,0.999985291063607,0.999985291063607,"Atp1a2/Bad/Bend3/Enpp3/Ndufa8/Ndufb2/Nme3/Nudt2/Trem2/Tspo",10,2,FALSE
"GO:0009205","purine ribonucleoside triphosphate metabolic process","10/1205","10/1691",0.0334004299038783,0.999985291063607,0.999985291063607,"Atp1a2/Bad/Bend3/Enpp3/Ndufa8/Ndufb2/Nme3/Nudt2/Trem2/Tspo",10,2,FALSE
"GO:0043030","regulation of macrophage activation","10/1205","10/1691",0.0334004299038783,0.999985291063607,0.999985291063607,"Cst7/Ctsc/Grn/Ldlr/Muc5b/Nr1h3/Slc7a2/Snca/Thbs1/Trem2",10,2,FALSE
"GO:0045930","negative regulation of mitotic cell cycle","23/1205","26/1691",0.0340496108451822,0.999985291063607,0.999985291063607,"Bmp7/Ccnd1/Cdk2ap2/Cdkn1a/Crlf3/Fgfr3/Fhl1/Foxc1/Fzd3/Gpnmb/Knl1/Mad1l1/Mbtps2/Nabp2/Pkd2/Ppp1r10/Rpa2/Rpl26/Trim39/Trip13/Xpc/Zfp36l2/Zfyve19",23,2,FALSE
"GO:0051258","protein polymerization","23/1205","26/1691",0.0340496108451822,0.999985291063607,0.999985291063607,"Aif1/Arf6/Cav1/Cdh5/Coro1a/Cyfip1/Esam/Fes/Met/Myadm/Nefl/Pecam1/Plekhg2/Pstpip2/Rdx/Rps3/Sgk1/Slit2/Snca/Tmsb15a/Tppp3/Trim32/Wasl",23,2,FALSE
"GO:0072593","reactive oxygen species metabolic process","23/1205","26/1691",0.0340496108451822,0.999985291063607,0.999985291063607,"Abcd1/Agt/Aldh2/Alox5/Cat/Ccn1/Cdkn1a/Cyp1a1/Ddit4/Fbln5/Gpx3/Immp2l/Itgam/Itgb2/Met/Ncf2/Pdgfrb/Prcp/Shc1/Snca/Tgfbr2/Thbs1/Tspo",23,2,FALSE
