"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","pattern","significant_fdr_0p05"
"GO:0099536","synaptic signaling","57/376","143/1691",4.95428783373565e-07,0.00173251445545736,0.00167767831169764,"Ache/Adcyap1/Adora1/Adra1a/Cacna1e/Calb2/Camkv/Cartpt/Cav2/Cbln2/Cdh1/Cdh2/Cnr1/Cplx3/Dgkb/Erbb4/Gabra3/Gabrb2/Gpr158/Grik2/Grin2b/Grip2/Grm2/Gucy1a1/Htr2a/Igf1r/Igsf11/Il1rap/Insyn2a/Kcnq3/Lrp6/Ngfr/Npr2/Npy/Npy2r/Nrg1/Nrxn1/Nrxn2/Nrxn3/Ntsr1/P2rx3/P2rx7/Penk/Ppfia2/Reln/Scgn/Slc17a6/Slc6a1/Slitrk3/Sorbs1/Sv2a/Sv2b/Syt10/Th/Tnr/Ucn/Wnt3a",57,1,TRUE
"GO:0099537","trans-synaptic signaling","54/376","138/1691",2.09104673411793e-06,0.00267746667877373,0.00259272167289709,"Adcyap1/Adora1/Adra1a/Cacna1e/Calb2/Camkv/Cartpt/Cav2/Cbln2/Cdh1/Cdh2/Cnr1/Cplx3/Dgkb/Erbb4/Gabra3/Gabrb2/Gpr158/Grik2/Grin2b/Grip2/Grm2/Gucy1a1/Htr2a/Igf1r/Igsf11/Il1rap/Insyn2a/Kcnq3/Lrp6/Ngfr/Npr2/Npy/Npy2r/Nrxn1/Nrxn2/Nrxn3/Ntsr1/P2rx3/P2rx7/Penk/Ppfia2/Reln/Scgn/Slc17a6/Slc6a1/Slitrk3/Sv2a/Sv2b/Syt10/Th/Tnr/Ucn/Wnt3a",54,1,TRUE
"GO:0007268","chemical synaptic transmission","53/376","136/1691",3.06258699316412e-06,0.00267746667877373,0.00259272167289709,"Adcyap1/Adora1/Adra1a/Cacna1e/Calb2/Camkv/Cartpt/Cav2/Cbln2/Cdh1/Cdh2/Cnr1/Cplx3/Dgkb/Erbb4/Gabra3/Gabrb2/Gpr158/Grik2/Grin2b/Grip2/Grm2/Gucy1a1/Htr2a/Igf1r/Igsf11/Insyn2a/Kcnq3/Lrp6/Ngfr/Npr2/Npy/Npy2r/Nrxn1/Nrxn2/Nrxn3/Ntsr1/P2rx3/P2rx7/Penk/Ppfia2/Reln/Scgn/Slc17a6/Slc6a1/Slitrk3/Sv2a/Sv2b/Syt10/Th/Tnr/Ucn/Wnt3a",53,1,TRUE
"GO:0098916","anterograde trans-synaptic signaling","53/376","136/1691",3.06258699316412e-06,0.00267746667877373,0.00259272167289709,"Adcyap1/Adora1/Adra1a/Cacna1e/Calb2/Camkv/Cartpt/Cav2/Cbln2/Cdh1/Cdh2/Cnr1/Cplx3/Dgkb/Erbb4/Gabra3/Gabrb2/Gpr158/Grik2/Grin2b/Grip2/Grm2/Gucy1a1/Htr2a/Igf1r/Igsf11/Insyn2a/Kcnq3/Lrp6/Ngfr/Npr2/Npy/Npy2r/Nrxn1/Nrxn2/Nrxn3/Ntsr1/P2rx3/P2rx7/Penk/Ppfia2/Reln/Scgn/Slc17a6/Slc6a1/Slitrk3/Sv2a/Sv2b/Syt10/Th/Tnr/Ucn/Wnt3a",53,1,TRUE
"GO:0051966","regulation of synaptic transmission, glutamatergic","14/376","21/1691",1.44100732742986e-05,0.0100784052480444,0.009759411731246,"Adcyap1/Adora1/Cdh2/Cnr1/Grik2/Grin2b/Grm2/Htr2a/Ngfr/Npy2r/Nrxn1/Reln/Tnr/Ucn",14,1,TRUE
"GO:0035249","synaptic transmission, glutamatergic","15/376","24/1691",2.22157301382395e-05,0.0129480680489039,0.0125382462903012,"Adcyap1/Adora1/Cdh2/Cnr1/Grik2/Grin2b/Grm2/Htr2a/Ngfr/Npy2r/Nrxn1/Reln/Slc17a6/Tnr/Ucn",15,1,TRUE
"GO:0051480","regulation of cytosolic calcium ion concentration","11/376","15/1691",3.29338130881343e-05,0.0164527920527437,0.0159320416097035,"Adora1/Calb2/Cav2/Chga/Cngb1/Cnr1/Grin2b/Npy/Scgn/Sv2b/Trpc4",11,1,TRUE
"GO:0050877","nervous system process","64/376","190/1691",7.73144797103845e-05,0.0320046221450012,0.0309916377768821,"Adgrv1/Adora1/Adra1a/Adra1d/Aqp4/C1ql1/Cacna1e/Cartpt/Cdc14a/Cdh1/Cdkn2d/Chst10/Cln5/Cngb1/Cnr1/Coch/Comp/Cplx3/Csmd1/Cyp7b1/Gabra3/Gabrb2/Gpr158/Grik2/Grin2b/Grip2/Htr2a/Igsf11/Insyn2a/Itga5/Jag2/Jun/Kcnmb2/Kcnq3/Nfasc/Ngfr/Nmb/Npr2/Nptx2/Npy2r/Nrcam/Nrg1/Nrxn1/Nrxn2/Nrxn3/Nts/Ntsr1/P2rx3/P2rx7/Pax6/Pcdh15/Penk/Reln/Rgs9/Sema5a/Sema5b/Slc26a5/Slc6a1/Srrm4/Stac/Syt10/Th/Tnr/Ucn",64,1,TRUE
"GO:0050808","synapse organization","48/376","132/1691",8.23682011166746e-05,0.0320046221450012,0.0309916377768821,"Ache/Amigo2/C1ql1/Camkv/Cbln2/Cdh1/Cdh2/Cnksr2/Dab2ip/Dgkb/Dock10/Efnb2/Epha3/Epha5/Ephb3/Erbb2/Erbb4/Gabrb2/Gpr158/Grin2b/Grip2/Igf1r/Igsf21/Il1rap/Lrfn1/Lrrtm4/Nectin1/Negr1/Nfasc/Nrcam/Nrg1/Nrp2/Nrxn1/Nrxn2/Nrxn3/Plxnb2/Ppfia2/Ppfia4/Ptprt/Reln/Sdk2/Sema3a/Sema3f/Slc6a1/Slitrk3/Sorbs1/Tnr/Wnt3a",48,1,TRUE
"GO:0014051","gamma-aminobutyric acid secretion","6/376","6/1691",0.000117141650597949,0.0409644352141029,0.0396678621024845,"Ntsr1/P2rx7/Slc6a1/Sv2a/Trh/Trpc4",6,1,TRUE
"GO:0099003","vesicle-mediated transport in synapse","17/376","33/1691",0.00018799428463346,0.0539303961795254,0.0522234349772085,"Cacna1e/Cdh2/Cplx3/Ddc/Dnajc6/Efnb2/Grip2/Npy/Nrg1/Nrxn1/P2rx7/Ppfia2/Slc17a6/Sv2a/Sv2b/Syt10/Th",17,1,FALSE
"GO:0048469","cell maturation","18/376","36/1691",0.000198523161403239,0.0539303961795254,0.0522234349772085,"C1ql1/Ccl19/Epha8/Ercc2/Grip2/Ihh/Kcnq3/Lhx6/Nfasc/Nppc/Npr2/Nrcam/Nrxn1/Pth1r/Ret/Rxfp2/Srrm4/Vegfa",18,1,FALSE
"GO:0050804","modulation of chemical synaptic transmission","40/376","108/1691",0.000215906647558866,0.0539303961795254,0.0522234349772085,"Adcyap1/Adora1/Adra1a/Cacna1e/Calb2/Camkv/Cbln2/Cdh1/Cdh2/Cnr1/Cplx3/Dgkb/Erbb4/Gpr158/Grik2/Grin2b/Grip2/Grm2/Gucy1a1/Htr2a/Igf1r/Igsf11/Kcnq3/Ngfr/Npy/Npy2r/Nrxn1/Nrxn2/Nrxn3/P2rx3/P2rx7/Penk/Ppfia2/Reln/Scgn/Slc6a1/Sv2b/Tnr/Ucn/Wnt3a",40,1,FALSE
"GO:0099177","regulation of trans-synaptic signaling","40/376","108/1691",0.000215906647558866,0.0539303961795254,0.0522234349772085,"Adcyap1/Adora1/Adra1a/Cacna1e/Calb2/Camkv/Cbln2/Cdh1/Cdh2/Cnr1/Cplx3/Dgkb/Erbb4/Gpr158/Grik2/Grin2b/Grip2/Grm2/Gucy1a1/Htr2a/Igf1r/Igsf11/Kcnq3/Ngfr/Npy/Npy2r/Nrxn1/Nrxn2/Nrxn3/P2rx3/P2rx7/Penk/Ppfia2/Reln/Scgn/Slc6a1/Sv2b/Tnr/Ucn/Wnt3a",40,1,FALSE
"GO:0065008","regulation of biological quality","136/376","488/1691",0.000295139043283394,0.0688067489574686,0.0666289334907143,"Acvr1c/Acvr2a/Adcyap1/Adgrv1/Adora1/Adra1a/Adra1d/Amigo2/Aqp4/Bmp6/C1ql1/C1qtnf12/Cacna1e/Calb2/Calcr/Camkv/Cartpt/Cbln2/Cd40lg/Cdh1/Cdh2/Chga/Chst10/Chst8/Cln5/Cngb1/Cnp/Cnr1/Coch/Comp/Cplx3/Crebl2/Dab2ip/Dgkb/Dlc1/Efnb2/Epha5/Ephb3/Erbb2/Erbb4/Fgf10/Fstl4/Fzd6/Gabra3/Gabrb2/Gpr158/Grik2/Grin2b/Grip2/Grm2/Gucy1a1/Htr2a/Igf1r/Igsf11/Il1rap/Il7r/Insyn2a/Jun/Kcnk3/Kcnk9/Kcnmb2/Kcnq3/Lmod1/Lrfn1/Lrp5/Lrp6/Lrrtm4/Myl2/Myo1c/Nectin1/Negr1/Ngfr/Nmb/Nppc/Npr1/Npr2/Nptx2/Npy/Npy2r/Nrcam/Nrg1/Nrp2/Nrxn1/Nrxn2/Nrxn3/Nts/Ntsr1/P2rx3/P2rx7/Penk/Plxna3/Plxnb2/Plxnb3/Ppfia2/Prkg1/Prlr/Prr16/Pth1r/Ptprm/Ptprt/Rassf2/Reln/Ret/Scgn/Selp/Sema3a/Sema3c/Sema3f/Sema4c/Sema5a/Sema5b/Sema6a/Sh3glb1/Slc17a6/Slc26a5/Slc4a11/Slc6a1/Slc6a11/Slc9a1/Slitrk3/Sst/Sv2a/Sv2b/Swap70/Syne3/Syt10/Telo2/Tent4a/Tfr2/Tnr/Trh/Trpc4/Ucn/Vegfa/Wnt3a/Wnt4",136,1,FALSE
"GO:0014052","regulation of gamma-aminobutyric acid secretion","5/376","5/1691",0.000532347231558335,0.116351141797469,0.112668489731787,"Ntsr1/P2rx7/Slc6a1/Sv2a/Trh",5,1,FALSE
"GO:0001964","startle response","7/376","9/1691",0.00060542828522334,0.117145927418127,0.113438119441962,"Csmd1/Grin2b/Npr2/Nrxn1/Pcdh15/Penk/Ucn",7,1,FALSE
"GO:0015812","gamma-aminobutyric acid transport","6/376","7/1691",0.000665656560519503,0.117145927418127,0.113438119441962,"Ntsr1/P2rx7/Slc6a1/Sv2a/Trh/Trpc4",6,1,FALSE
"GO:0099509","regulation of presynaptic cytosolic calcium ion concentration","6/376","7/1691",0.000665656560519503,0.117145927418127,0.113438119441962,"Adora1/Calb2/Cnr1/Npy/Scgn/Sv2b",6,1,FALSE
"GO:0055082","intracellular chemical homeostasis","38/376","106/1691",0.000669979567733066,0.117145927418127,0.113438119441962,"Adora1/Aqp4/Bmp6/C1qtnf12/Cacna1e/Calb2/Cartpt/Cav2/Ccdc22/Ccl19/Chga/Cln5/Cngb1/Cnr1/Epha5/Grik2/Grin2b/Grm2/Htr2a/Igf1r/Kat5/Lrp5/Ngfr/Nppc/Npy/Ntsr1/P2rx7/Prkaa2/Pth1r/Scgn/Slc4a11/Slc9a1/Sv2a/Sv2b/Tfr2/Tgfb2/Thy1/Trpc4",38,1,FALSE
"GO:0048666","neuron development","77/376","254/1691",0.000709063867723329,0.118076016448975,0.114338770048419,"Ache/Adcyap1/Adgrv1/Alk/Auts2/C1ql1/Cdh1/Cdh2/Cngb1/Cnp/Cnr1/Cntn1/Creb3l2/Crmp1/Dab2ip/Dock10/Efna3/Efnb2/Epha3/Epha5/Epha8/Ephb3/Erbb2/Fam151b/Fstl4/Gabrb2/Grip2/Igf1r/Ihh/Jun/Kcnq3/Lhx6/Lrp6/Myo16/Myt1l/Nectin1/Negr1/Neurod6/Nfasc/Ngfr/Npr2/Nrcam/Nrg1/Nrp2/Nrxn1/Pax6/Pcdh15/Plp1/Plxna3/Plxnb2/Plxnb3/Ppfia2/Prkg1/Ptprm/Reln/Ret/Sall3/Sema3a/Sema3c/Sema3f/Sema4c/Sema5a/Sema5b/Sema6a/Setx/Sh3glb1/Slitrk3/Srrm4/Tgfb2/Th/Thy1/Tnr/Tubb3/Ucn/Vash2/Vegfa/Wnt3a",77,1,FALSE
"GO:0021700","developmental maturation","26/376","65/1691",0.000764413968540131,0.121507074908402,0.117661231425531,"Adamts12/C1ql1/Ccl19/Cngb1/Dab2ip/Epha8/Erbb4/Ercc2/Grip2/Ift80/Igsf21/Ihh/Kcnq3/Lhx6/Nfasc/Nppc/Npr2/Nrcam/Nrxn1/Pth1r/Reln/Ret/Rxfp2/Srrm4/Tgfb2/Vegfa",26,1,FALSE
"GO:0099504","synaptic vesicle cycle","14/376","28/1691",0.00104305426132673,0.145880644774503,0.141263348807121,"Cacna1e/Cdh2/Cplx3/Ddc/Dnajc6/Npy/Nrxn1/P2rx7/Ppfia2/Slc17a6/Sv2a/Sv2b/Syt10/Th",14,1,FALSE
"GO:0007612","learning","17/376","37/1691",0.00104444375353349,0.145880644774503,0.141263348807121,"C1ql1/Cacna1e/Chst10/Csmd1/Grin2b/Jun/Nptx2/Nrxn1/Nrxn2/Nrxn3/Nts/Ntsr1/Reln/Slc6a1/Th/Tnr/Ucn",17,1,FALSE
"GO:0034330","cell junction organization","59/376","187/1691",0.00112072160402034,0.145880644774503,0.141263348807121,"Ache/Amigo2/Bmp6/C1ql1/Camkv/Cbln2/Cdh1/Cdh2/Cldn11/Cnksr2/Dab2ip/Dgkb/Dlc1/Dock10/Efnb2/Epha3/Epha5/Ephb3/Erbb2/Erbb4/Gabrb2/Gpr158/Grin2b/Grip2/Igf1r/Igsf21/Il1rap/Itga5/Lrfn1/Lrrtm4/Myo1c/Nectin1/Negr1/Nfasc/Nrcam/Nrg1/Nrp2/Nrxn1/Nrxn2/Nrxn3/Patj/Plxnb2/Ppfia2/Ppfia4/Ptprt/Reln/Sdk2/Sema3a/Sema3f/Slc6a1/Slitrk3/Sorbs1/Tgfb2/Thy1/Tnr/Tns1/Vegfa/Wnt3a/Wnt4",59,1,FALSE
"GO:0001678","intracellular glucose homeostasis","10/376","17/1691",0.00112633040003191,0.145880644774503,0.141263348807121,"Aqp4/C1qtnf12/Cacna1e/Cartpt/Epha5/Igf1r/Kat5/Lrp5/Ngfr/Prkaa2",10,1,FALSE
"GO:0042551","neuron maturation","10/376","17/1691",0.00112633040003191,0.145880644774503,0.141263348807121,"C1ql1/Epha8/Grip2/Kcnq3/Lhx6/Nfasc/Nrcam/Nrxn1/Ret/Srrm4",10,1,FALSE
"GO:0046530","photoreceptor cell differentiation","8/376","12/1691",0.00117972854647371,0.147339668822092,0.142676193007742,"Cngb1/Fam151b/Ihh/Pax6/Sdk2/Th/Thy1/Vegfa",8,1,FALSE
