dataset,target,method,space,sliced_w2,projection_sd,n_projection_repeats,input_manifest_sha256,display_name,source_role,source_file_sha256,rank
zebrafish,1,random_independent_pairs,state,0.0754987502859784,0.0014133446303851,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,4.0
zebrafish,1,random_independent_pairs,spatial,0.1780830562393404,0.0004414282370871,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,5.0
zebrafish,1,mioflow,state,0.0780381716047478,0.000928546306245,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MIOFlow,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,5.0
zebrafish,1,stories,state,0.090897929740503,0.0012147869223468,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,STORIES,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,9.0
zebrafish,1,wot,state,0.0848175816800342,0.0013101686236805,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Waddington-OT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,7.0
zebrafish,2,CytoBridge-0.015,joint,0.0564310851883846,0.0007314269862939,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,1.0
zebrafish,2,CytoBridge-0.015,state,0.0568561932072653,0.001880111297292,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,1.0
zebrafish,2,CytoBridge-0.015,spatial,0.0440712003259938,0.0002353564723446,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,2.0
zebrafish,2,stvcr,joint,0.1247710431416585,0.0020068067057045,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,8.0
zebrafish,2,stvcr,state,0.1163835244289582,0.0027650863555602,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,11.0
zebrafish,2,stvcr,spatial,0.2998430164368569,0.0036094111102245,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,8.0
zebrafish,2,moscot,joint,0.078984268025475,0.0010204026433908,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,4.0
zebrafish,2,moscot,state,0.0873337405996565,0.0004215431651932,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,8.0
zebrafish,2,moscot,spatial,0.056524289619763,0.000424267982676,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,3.0
zebrafish,2,paste,joint,0.0687032378587232,0.0006586867777606,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,3.0
zebrafish,2,paste,state,0.0674649398502084,0.0005296105293416,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,3.0
zebrafish,2,paste,spatial,0.1131312639351292,0.0005270788667975,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,4.0
zebrafish,2,spateo,joint,0.0854181257121653,0.0009592080110295,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,6.0
zebrafish,2,spateo,state,0.0903586100016155,0.0002900221627013,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,10.0
zebrafish,2,spateo,spatial,0.134754553547366,0.0020472898354816,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,5.0
zebrafish,2,random_independent_pairs,joint,0.0852250201391158,0.0005377505844944,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,5.0
zebrafish,2,random_independent_pairs,state,0.0807060118082031,0.0004917078969639,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,4.0
zebrafish,2,random_independent_pairs,spatial,0.1817510143637454,0.0001885420529292,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,7.0
zebrafish,2,mioflow,state,0.0860880061506489,0.000413637592764,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MIOFlow,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,7.0
zebrafish,2,stories,state,0.0882937122100721,0.0003983073585869,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,STORIES,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,9.0
zebrafish,2,wot,state,0.0840103250601117,0.0003709798460626,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Waddington-OT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,5.0
zebrafish,3,CytoBridge-0.015,joint,0.06105614279424,0.0005485193972303,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,6.0
zebrafish,3,CytoBridge-0.015,state,0.062311069141354,0.0005430953089202,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,10.0
zebrafish,3,CytoBridge-0.015,spatial,0.0587325608790056,0.0003841997895703,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,1.0
zebrafish,3,stvcr,joint,0.070882667228182,0.0006468450718101,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,7.0
zebrafish,3,stvcr,state,0.0712636424668186,0.0004578382767481,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,11.0
zebrafish,3,stvcr,spatial,0.1341144847910313,0.0012091783874767,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,6.0
zebrafish,3,moscot,joint,0.045771893791608,0.000708840657498,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,3.0
zebrafish,3,moscot,state,0.0485600670909451,0.000227936753504,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,9.0
zebrafish,3,moscot,spatial,0.0947106972735624,0.0007040334386979,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,2.0
zebrafish,3,paste,joint,0.041869477990011,0.0007268355282389,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,1.0
zebrafish,3,paste,state,0.0392016885027574,0.0003635788296465,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,1.0
zebrafish,3,paste,spatial,0.0979658451070127,0.0004894622508696,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,3.0
zebrafish,3,spateo,joint,0.0750034000557719,0.0013033168439419,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,8.0
zebrafish,3,spateo,state,0.0465375354736608,0.000205902962419,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,6.0
zebrafish,3,spateo,spatial,0.3025047903992165,0.0026604261842166,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,8.0
zebrafish,3,random_independent_pairs,joint,0.0479111850020622,0.0007674327577185,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,4.0
zebrafish,3,random_independent_pairs,state,0.0428948373833274,0.0003021957658531,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,3.0
zebrafish,3,random_independent_pairs,spatial,0.1322068160026575,0.000555337411136,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,5.0
zebrafish,3,mioflow,state,0.0447346970625378,0.0003617834140496,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MIOFlow,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,4.0
zebrafish,3,stories,state,0.046772717381654,0.0003212857476467,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,STORIES,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,7.0
zebrafish,3,wot,state,0.0470935226069548,0.0002738245574502,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Waddington-OT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,8.0
mosta,1,CytoBridge-0.015,joint,0.0514374029147412,0.0008494246121392,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,4.0
mosta,1,CytoBridge-0.015,state,0.0514480657495216,0.0017612560362374,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,4.0
mosta,1,CytoBridge-0.015,spatial,0.0497369884807773,0.0004247317832341,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,2.0
mosta,1,stvcr,joint,0.0477289420720834,0.0006251379491769,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,2.0
mosta,1,stvcr,state,0.0470402262098625,0.0008422581787108,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,3.0
mosta,1,stvcr,spatial,0.082949906724098,0.0005362834444793,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,4.0
mosta,1,moscot,joint,0.0553766484244678,0.0005946859968833,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MOSCOT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,5.0
mosta,1,moscot,state,0.0606636546765634,0.0008499328414162,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MOSCOT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,9.0
mosta,1,moscot,spatial,0.0498491355716361,0.0003927633287156,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MOSCOT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,3.0
mosta,1,paste,joint,0.0494975217136216,0.000690884852919,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,PASTE,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,3.0
mosta,1,paste,state,0.0466187636633024,0.0011021658801147,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,PASTE,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,1.0
mosta,1,paste,spatial,0.1054477757864182,0.0007124345263063,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,PASTE,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,5.0
mosta,1,spateo,joint,0.0626494659007107,0.0006260618869403,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Spateo,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,6.0
mosta,1,spateo,state,0.0615208560424906,0.0008258253017271,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Spateo,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,10.0
mosta,1,spateo,spatial,0.1131209146255665,0.0001854154461479,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Spateo,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,6.0
mosta,1,random_independent_pairs,joint,0.0641057129982792,0.0007043526546388,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Random interpolation,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,8.0
mosta,1,random_independent_pairs,state,0.0567955911270004,0.0009016277065786,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Random interpolation,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,7.0
mosta,1,random_independent_pairs,spatial,0.16943838482958,0.0001817140407241,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Random interpolation,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,7.0
mosta,1,mioflow,state,0.0694217469672681,0.0016215794849903,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MIOFlow,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,11.0
mosta,1,stories,state,0.056311245060815,0.0008671749147484,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,STORIES,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,6.0
mosta,1,wot,state,0.0584301502316632,0.0009023866682406,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Waddington-OT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,8.0
mosta,2,CytoBridge-0.015,joint,0.0539554031592821,0.0010942153279477,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,2.0
mosta,2,CytoBridge-0.015,state,0.0521116768901461,0.0011906555150632,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,3.0
mosta,2,CytoBridge-0.015,spatial,0.0697583985513999,0.0002024889847191,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,3.0
mosta,2,stvcr,joint,0.0566998686337086,0.0014379419783554,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,3.0
mosta,2,stvcr,state,0.0555008931006472,0.0014635336224028,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,6.0
mosta,2,stvcr,spatial,0.0451761754544634,0.000155129530603,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,1.0
mosta,2,moscot,joint,0.0602938496293794,0.0006495620499281,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MOSCOT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,5.0
mosta,2,moscot,state,0.0620013243931947,0.0008029096619628,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MOSCOT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,11.0
mosta,2,moscot,spatial,0.0805614848767052,0.0001285751892066,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MOSCOT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,4.0
mosta,2,paste,joint,0.0597950639433811,0.0008166546149653,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,PASTE,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,4.0
mosta,2,paste,state,0.0473250592080603,0.0011055086812946,5.0,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,PASTE,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1,1.0
