benchmark,split,method,space,projection_repeat,projection_seed,projection_sha256,n_projections,primary_metric,primary_value,sliced_w2,exact_w1,exact_w2,n_predicted,n_observed,predicted_weight_sum,exact_ot_predicted_points,exact_ot_observed_points,target,dataset
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),joint,2,4153810970,0a9910ea7a65eff157dba6acde60aab75b3f8987f36d11fa24a981fae520d81c,1024,sliced_w2,0.0873691205468062,0.0873691205468062,1.2492735569513531,1.280968142875534,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),joint,3,2490435265,25a5ae71a76182128bcbbcee59de9b5d29c1924420a007153192bf5006896eab,1024,sliced_w2,0.0888346157823687,0.0888346157823687,1.2492735569513531,1.280968142875534,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),joint,4,3199375425,7935c0bbb7a7c6ee058d45f31a396acd5e92d80f52778d77ec904315a6002483,1024,sliced_w2,0.0877827659438286,0.0877827659438286,1.2492735569513531,1.280968142875534,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),state,0,2506383432,8adfd59b60c363f7c9146a25b47964da708cd4967402dc68bc5928417bb88289,1024,sliced_w2,0.0842867847412358,0.0842867847412358,1.1498791254181746,1.18559310211396,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),state,1,1136634402,fc1cb58042939937eacd3bae433ee2f69b338eed2b32e0c967f7782d7499ab05,1024,sliced_w2,0.0843305978932963,0.0843305978932963,1.1498791254181746,1.18559310211396,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),state,2,1906539253,0f207e8e61db26413377036dfafd6e5f284183ef75a3575defb755e686f05715,1024,sliced_w2,0.0845957899110858,0.0845957899110858,1.1498791254181746,1.18559310211396,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),state,3,2556305812,74bbba482931e0112c3dbb24558a80aad60ca5d1cec8147973cbb4fb7138aaf0,1024,sliced_w2,0.0835573093489238,0.0835573093489238,1.1498791254181746,1.18559310211396,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),state,4,1458909173,fe0245bc8cedd8c9f532ea10ed5c9921e4cb0d7c9210b522ba7b4926b48f0de3,1024,sliced_w2,0.0841030925167677,0.0841030925167677,1.1498791254181746,1.18559310211396,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),spatial,0,3716708970,16b83a1767db559a8dbbb3aa26bee2e875b5afbc258dc36d6f380325a24613b7,1024,sliced_w2,0.1604259866621237,0.1604259866621237,0.2293422926634543,0.2419824543376079,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),spatial,1,750891629,88057079882194b7ee3b08402790053483a355f84dfb5574469e09794857cbac,1024,sliced_w2,0.1595270373515877,0.1595270373515877,0.2293422926634543,0.2419824543376079,5000,2081,5000.0,800,800,2,zebrafish
