dataset,target,space,sliced_w2_spatrack,sliced_w2_cytobridge,relative_error_pct,cytobridge_lower
admouse,1,joint,0.04933459267954718,0.0244668199582412,101.6387612437951,True
admouse,1,spatial,0.1539863398307691,0.0365305832686718,321.52718640774066,True
admouse,1,state,0.040732324577771116,0.0233735606468122,74.26666477247399,True
arista,1,joint,0.07591849407649855,0.0486485407819145,56.05502828303099,True
arista,1,spatial,0.24780914058350173,0.0338135038611113,632.8703396174967,True
arista,1,state,0.060404254172740424,0.048585505960221,24.325666634399013,True
arista,2,joint,0.07611644630081127,0.0629798195780042,20.85846992072846,True
arista,2,spatial,0.22341651396423715,0.0458668983323426,387.0974975142305,True
arista,2,state,0.06474168303897214,0.0634960139523174,1.9618067483577528,True
arista,3,joint,0.07600391297626456,0.0637158861787396,19.285656269542972,True
arista,3,spatial,0.20616656978972228,0.0560061218772215,268.114346931015,True
arista,3,state,0.06686391808005802,0.0643122206647393,3.967671134574524,True
chicken_heart,1,joint,0.10779949049253659,0.0793220037128637,35.90111879013802,True
chicken_heart,1,spatial,0.19754291432067442,0.0606785759632136,225.55627943614707,True
chicken_heart,1,state,0.10296193529778033,0.0807686035069609,27.477671802146176,True
chicken_heart,2,joint,0.07984628036981592,0.0722430375915719,10.524533618352505,True
chicken_heart,2,spatial,0.19332333070837388,0.0637139129578999,203.4240430910525,True
chicken_heart,2,state,0.07252325139407986,0.0734386389633914,-1.246465868965585,False
mosta,1,joint,0.06309984973939324,0.0514374029147412,22.673086438642407,True
mosta,1,spatial,0.17369468832221802,0.0497369884807773,249.22638790112663,True
mosta,1,state,0.055509186973539196,0.0514480657495216,7.893632471606304,True
mosta,2,joint,0.07557528867520966,0.0539554031592821,40.06991746888324,True
mosta,2,spatial,0.2866714287595134,0.0697583985513999,310.94898207602347,True
mosta,2,state,0.05410903030574106,0.0521116768901461,3.8328327445794397,True
zebrafish,1,joint,0.09278416436990784,0.0583131576306252,59.11359998310053,True
zebrafish,1,spatial,0.25275232755573995,0.0494536931548345,411.0888822082469,True
zebrafish,1,state,0.08144570027960564,0.0565339432202346,44.06513262718006,True
zebrafish,2,joint,0.08811386956670271,0.0564310851883846,56.144205401244854,True
zebrafish,2,spatial,0.15964906244855995,0.0440712003259938,262.2525850615345,True
zebrafish,2,state,0.08417471488226189,0.0568561932072653,48.04845371094195,True
zebrafish,3,joint,0.05467828044809135,0.06105614279424,-10.445897913404266,False
zebrafish,3,spatial,0.15823218695729735,0.0587325608790056,169.41135307086302,True
zebrafish,3,state,0.046176099642212344,0.062311069141354,-25.89422669436009,False
