dataset,target,method,space,sliced_w2,projection_sd,n_projection_repeats,input_manifest_sha256,display_name,source_role,source_file_sha256,cytobridge_sliced_w2,relative_difference_pct
zebrafish,1,stories,state,0.090897929740503,0.0012147869223468,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,STORIES,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0565339432202346,60.78469776360631
zebrafish,1,wot,state,0.0848175816800342,0.0013101686236805,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Waddington-OT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0565339432202346,50.02948113776069
zebrafish,2,CytoBridge-0.015,joint,0.0564310851883846,0.0007314269862939,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0564310851883846,0.0
zebrafish,2,CytoBridge-0.015,state,0.0568561932072653,0.001880111297292,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0568561932072653,0.0
zebrafish,2,CytoBridge-0.015,spatial,0.0440712003259938,0.0002353564723446,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0440712003259938,0.0
zebrafish,2,stvcr,joint,0.1247710431416585,0.0020068067057045,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0564310851883846,121.10339137575288
zebrafish,2,stvcr,state,0.1163835244289582,0.0027650863555602,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0568561932072653,104.69805990121456
zebrafish,2,stvcr,spatial,0.2998430164368569,0.0036094111102245,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0440712003259938,580.3604490436476
zebrafish,2,moscot,joint,0.078984268025475,0.0010204026433908,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0564310851883846,39.96588540128339
zebrafish,2,moscot,state,0.0873337405996565,0.0004215431651932,5.0,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5,0.0568561932072653,53.6046218945532
