n_initial,E15_over_E14_q99_area,E15_over_E14_range_area,E15_over_E14_covariance_area,E15_over_E14p5_q99_area,E15_over_E14p5_covariance_area
30000,1.2434620042516216,1.35851086671044,1.203129677983944,0.9687716296034474,0.9858314164774383
40000,1.2429916530414875,1.3249223420183258,1.1994354252076993,0.9576368798558162,0.9756533499072635
50000,1.2461002843769629,1.335604095419759,1.2012511277394455,0.959692629828675,0.9783637795018698
