source_time,target_time,n_particles,n_edges,same_label_fraction,mean_source_dominant_target_fraction,weighted_source_dominant_target_fraction
0.0,0.5,50000,226,0.74292,0.6558376919152896,0.7441
0.5,1.0,50000,224,0.68268,0.6393997509928698,0.71546
1.0,1.5,50000,220,0.67378,0.5908930024938975,0.67946
1.5,2.0,50000,217,0.68922,0.6307928094803388,0.70294
2.0,2.5,50000,241,0.73264,0.6564379360230806,0.74424
2.5,3.0,50000,252,0.73486,0.6212538393148244,0.74394
