source_time,target_time,source,kept_count,edge_out_count,node_count,kept_fraction
2.0,2.5,Epidermis,1427,1592,1592,0.8963567839195979
2.0,2.5,Facial nerve,4,4,4,1.0
2.0,2.5,GI tract,468,584,584,0.8013698630136986
2.0,2.5,Heart,1915,2071,2071,0.9246740704973443
2.0,2.5,Jaw and tooth,2836,3422,3422,0.8287551139684395
2.0,2.5,Kidney,105,115,115,0.9130434782608695
2.0,2.5,Liver,1750,2092,2092,0.8365200764818356
2.0,2.5,Lung,498,617,617,0.807131280388979
2.0,2.5,Meninges,3004,3484,3484,0.8622273249138921
2.0,2.5,Mesentery,1,1,1,1.0
2.0,2.5,Mesothelium,1,1,1,1.0
2.0,2.5,Mucosal epithelium,93,116,116,0.8017241379310345
2.0,2.5,Muscle,1075,1289,1289,0.8339798293250582
2.0,2.5,Pancreas,44,52,52,0.8461538461538461
2.0,2.5,Smooth muscle,128,143,143,0.8951048951048951
2.0,2.5,Spinal cord,2542,3074,3074,0.8269355888093689
2.0,2.5,Sympathetic nerve,13,14,14,0.9285714285714286
2.5,3.0,Adipose tissue,487,584,584,0.833904109589041
2.5,3.0,Adrenal gland,15,17,17,0.8823529411764706
2.5,3.0,Blood vessel,59,67,67,0.8805970149253731
2.5,3.0,Brain,10309,11922,11922,0.8647039087401442
2.5,3.0,Cartilage,108,135,135,0.8
2.5,3.0,Cartilage primordium,1090,1282,1282,0.8502340093603744
2.5,3.0,Cavity,5624,7017,7017,0.801482114863902
2.5,3.0,Choroid plexus,234,242,242,0.9669421487603306
2.5,3.0,Connective tissue,7514,9211,9211,0.8157637607208772
2.5,3.0,Dorsal root ganglion,992,1125,1125,0.8817777777777778
2.5,3.0,Epidermis,924,1085,1085,0.8516129032258064
2.5,3.0,Facial nerve,7,8,8,0.875
2.5,3.0,GI tract,197,241,241,0.8174273858921162
2.5,3.0,Heart,2276,2424,2424,0.9389438943894389
2.5,3.0,Jaw and tooth,2948,3274,3274,0.9004276114844227
2.5,3.0,Kidney,86,103,103,0.8349514563106796
2.5,3.0,Liver,1695,2026,2026,0.8366238894373149
2.5,3.0,Lung,557,628,628,0.8869426751592356
2.5,3.0,Meninges,3172,3694,3694,0.8586897671900379
2.5,3.0,Mucosal epithelium,98,120,120,0.8166666666666667
2.5,3.0,Muscle,420,483,483,0.8695652173913043
2.5,3.0,Olfactory epithelium,1,1,1,1.0
2.5,3.0,Pancreas,30,36,36,0.8333333333333334
2.5,3.0,Smooth muscle,302,346,346,0.8728323699421965
2.5,3.0,Spinal cord,3201,3923,3923,0.8159571756308948
2.5,3.0,Sympathetic nerve,5,6,6,0.8333333333333334
