source_time,target_time,source,target,count,source_fraction
0.5,1.0,Pancreas,GI tract,11,0.7857142857142857
0.5,1.0,Pancreas,Cavity,3,0.21428571428571427
0.5,1.0,Spinal cord,Dorsal root ganglion,11,0.7333333333333333
0.5,1.0,Spinal cord,Spinal cord,4,0.26666666666666666
0.5,1.0,Sympathetic nerve,Sympathetic nerve,74,0.4484848484848485
0.5,1.0,Sympathetic nerve,Cavity,45,0.2727272727272727
0.5,1.0,Sympathetic nerve,Connective tissue,43,0.2606060606060606
0.5,1.0,Urogenital ridge,Connective tissue,132,0.55
0.5,1.0,Urogenital ridge,Cavity,46,0.19166666666666668
0.5,1.0,Urogenital ridge,GI tract,20,0.08333333333333333
1.0,1.5,Brain,Brain,10521,0.8959380056203696
1.0,1.5,Cartilage primordium,Cartilage primordium,894,0.42369668246445497
1.0,1.5,Cartilage primordium,Connective tissue,733,0.34739336492890993
1.0,1.5,Cartilage primordium,Muscle,169,0.08009478672985781
1.0,1.5,Cavity,Cavity,5449,0.6486904761904762
1.0,1.5,Cavity,Connective tissue,482,0.05738095238095238
1.0,1.5,Cavity,Epidermis,473,0.05630952380952381
1.0,1.5,Cavity,Heart,355,0.042261904761904764
1.0,1.5,Choroid plexus,Brain,100,0.5780346820809249
1.0,1.5,Choroid plexus,Choroid plexus,40,0.23121387283236994
1.0,1.5,Connective tissue,Connective tissue,1863,0.6298174442190669
1.0,1.5,Connective tissue,Cavity,335,0.11325219743069642
1.0,1.5,Connective tissue,Muscle,209,0.07065584854631508
1.0,1.5,Dorsal root ganglion,Dorsal root ganglion,1122,0.82560706401766
1.0,1.5,Epidermis,Epidermis,1202,0.48311897106109325
1.0,1.5,Epidermis,Cavity,388,0.15594855305466238
1.0,1.5,Epidermis,Jaw and tooth,231,0.09284565916398714
1.0,1.5,Epidermis,Spinal cord,230,0.09244372990353698
1.0,1.5,GI tract,GI tract,757,0.43455797933409873
1.0,1.5,GI tract,Cavity,682,0.39150401836969
1.0,1.5,Heart,Heart,1283,0.7959057071960298
1.0,1.5,Heart,Cavity,280,0.17369727047146402
1.0,1.5,Jaw and tooth,Jaw and tooth,2848,0.8939108600125549
1.0,1.5,Kidney,Kidney,66,0.3548387096774194
1.0,1.5,Kidney,Connective tissue,37,0.1989247311827957
1.0,1.5,Kidney,GI tract,35,0.1881720430107527
1.0,1.5,Kidney,Cavity,34,0.1827956989247312
1.0,1.5,Liver,Liver,1748,0.8882113821138211
1.0,1.5,Lung,Lung,339,0.7793103448275862
1.0,1.5,Lung,Liver,63,0.14482758620689656
1.0,1.5,Meninges,Meninges,2461,0.6622712594187298
1.0,1.5,Meninges,Brain,709,0.19079655543595264
1.0,1.5,Mesentery,Cavity,54,0.3016759776536313
1.0,1.5,Mesentery,GI tract,52,0.2905027932960894
1.0,1.5,Mesentery,Mesentery,42,0.2346368715083799
1.0,1.5,Mesothelium,Cavity,137,0.5982532751091703
1.0,1.5,Mesothelium,Mesothelium,28,0.1222707423580786
1.0,1.5,Mesothelium,Liver,26,0.11353711790393013
1.0,1.5,Mucosal epithelium,Connective tissue,83,0.27666666666666667
1.0,1.5,Mucosal epithelium,Muscle,80,0.26666666666666666
1.0,1.5,Mucosal epithelium,Cavity,53,0.17666666666666667
1.0,1.5,Mucosal epithelium,Jaw and tooth,36,0.12
1.0,1.5,Muscle,Muscle,2849,0.417680691980648
1.0,1.5,Muscle,Connective tissue,1509,0.2212285588623369
1.0,1.5,Muscle,Spinal cord,865,0.12681425010995456
1.0,1.5,Muscle,Cartilage primordium,563,0.08253921712358891
1.0,1.5,Ovary,Pancreas,17,0.22972972972972974
1.0,1.5,Ovary,Cavity,16,0.21621621621621623
1.0,1.5,Ovary,GI tract,16,0.21621621621621623
1.0,1.5,Ovary,Lung,10,0.13513513513513514
1.0,1.5,Ovary,Liver,8,0.10810810810810811
1.0,1.5,Pancreas,Cavity,3,0.75
1.0,1.5,Pancreas,GI tract,1,0.25
1.0,1.5,Spinal cord,Spinal cord,119,0.5458715596330275
1.0,1.5,Spinal cord,Brain,32,0.14678899082568808
1.0,1.5,Spinal cord,Cavity,27,0.12385321100917432
1.0,1.5,Sympathetic nerve,Connective tissue,58,0.5858585858585859
1.0,1.5,Sympathetic nerve,Sympathetic nerve,25,0.25252525252525254
1.5,2.0,Adipose tissue,Adipose tissue,29,0.4393939393939394
1.5,2.0,Adipose tissue,Cavity,12,0.18181818181818182
1.5,2.0,Adipose tissue,Cartilage primordium,8,0.12121212121212122
