"SYMBOL","mapped"
"Cpa1",TRUE
"Cpa3",TRUE
"Cpa6",TRUE
"Cpox",TRUE
"Cpxm2",TRUE
"Cracr2b",TRUE
"Crhr2",TRUE
"Csf2ra",TRUE
"Csgalnact1",TRUE
"Csmd1",TRUE
"Cst11",TRUE
"CT027693.2",FALSE
"CT030713.2",FALSE
"Ctnna3",TRUE
"Ctrb1",TRUE
"Cutal",TRUE
"Cxcl12",TRUE
"Cxcl14",TRUE
"Cxcl2",TRUE
"Cyb561",TRUE
"Cyp11a1",TRUE
"Cyp11b1",TRUE
"Cyp2a12",TRUE
"Cyp2b23",TRUE
"Cyp2c55",TRUE
"Cyp2f2",TRUE
"Cyp2j11",TRUE
"Cyp3a25",TRUE
"Cyp3a57",TRUE
"Cyp4a12b",TRUE
"Cytl1",TRUE
"D130009I18Rik",TRUE
"D530049I02Rik",TRUE
"D6Ertd474e",TRUE
"D7Ertd128e",TRUE
"D930020B18Rik",TRUE
"Dact3",TRUE
"Dbh",TRUE
"Dcn",TRUE
"Dcx",TRUE
"Defb20",TRUE
"Defb23",TRUE
"Defb30",TRUE
"Defb40",TRUE
"Dennd2c",TRUE
"Dennd3",TRUE
"Deup1",TRUE
"Dkk4",TRUE
"Dkkl1",TRUE
"Dlg2",TRUE
"Dnah2",TRUE
"Dnajc5",TRUE
"Dnmt3l",TRUE
"Dpp6",TRUE
"Dppa2",TRUE
"Dpy19l2",TRUE
"Dram1",TRUE
"Dsc2",TRUE
"Dsg1c",TRUE
"Dsg3",TRUE
"Dsp",TRUE
"Duox1",TRUE
"E330014E10Rik",FALSE
"E530011L22Rik",TRUE
"Ehd2",TRUE
"Elmod1",TRUE
"Eln",TRUE
"Emc1",TRUE
"Emp1",TRUE
"Enam",TRUE
"Enthd1",TRUE
"Epn3",TRUE
"Erich6b",TRUE
"Ermap",TRUE
"Esrp1",TRUE
"Esrrg",TRUE
"Exph5",TRUE
"F13a1",TRUE
"F7",TRUE
"Fa2h",TRUE
"Fabp12",TRUE
"Fads6",TRUE
"Fam155a",FALSE
"Fam169b",TRUE
"Fam19a1",FALSE
"Fam240a",TRUE
"Fam46c",FALSE
"Fam71e2",FALSE
"Fbxw16",TRUE
"Fbxw19",TRUE
"Fbxw26",TRUE
"Fbxw27",TRUE
"Ffar1",TRUE
"Fga",TRUE
"Fgf23",TRUE
"Flrt2",TRUE
"Fmo9",TRUE
"Foxo6os",TRUE
"Fyb2",TRUE
"Gabra1",TRUE
"Gabrp",TRUE
"Galntl5",TRUE
"Galntl6",TRUE
"Gdpd4",TRUE
"Gdpd5",TRUE
"Gimap5",TRUE
"Gja1",TRUE
"Glipr1l1",TRUE
"Glipr1l2",TRUE
"Glt28d2",TRUE
"Gm10134",TRUE
"Gm10248",TRUE
"Gm10415",TRUE
"Gm10482",TRUE
"Gm10635",TRUE
"Gm10687",TRUE
"Gm10739",TRUE
"Gm10912",TRUE
"Gm11011",FALSE
"Gm11234",FALSE
"Gm11337",TRUE
"Gm11548",TRUE
"Gm11592",TRUE
"Gm11651",TRUE
"Gm11725",TRUE
"Gm11730",TRUE
"Gm11820",TRUE
"Gm11861",FALSE
"Gm11998",TRUE
"Gm12002",TRUE
"Gm12145",FALSE
"Gm12381",TRUE
"Gm12436",TRUE
"Gm12505",TRUE
"Gm12506",TRUE
"Gm12510",FALSE
"Gm12589",TRUE
"Gm12649",FALSE
"Gm12670",TRUE
"Gm12829",TRUE
"Gm12930",TRUE
"Gm12946",FALSE
"Gm12962",TRUE
"Gm12974",TRUE
"Gm13010",TRUE
"Gm13267",TRUE
"Gm13373",TRUE
"Gm13398",TRUE
"Gm13420",TRUE
"Gm13470",TRUE
"Gm13481",TRUE
"Gm13497",TRUE
"Gm13561",TRUE
"Gm13582",TRUE
"Gm13605",TRUE
"Gm13912",TRUE
"Gm14033",TRUE
"Gm14061",TRUE
"Gm14152",FALSE
"Gm14206",TRUE
"Gm14703",TRUE
"Gm15097",TRUE
"Gm15221",FALSE
"Gm15262",FALSE
"Gm15477",TRUE
"Gm15690",FALSE
"Gm15848",TRUE
"Gm15908",TRUE
"Gm16083",TRUE
"Gm16188",FALSE
"Gm16630",TRUE
"Gm16685",TRUE
"Gm17173",FALSE
"Gm17215",TRUE
"Gm17374",FALSE
"Gm17546",TRUE
"Gm17767",TRUE
"Gm17949",TRUE
"Gm20356",TRUE
"Gm20425",FALSE
"Gm20468",FALSE
"Gm20508",FALSE
"Gm21221",TRUE
"Gm21284",TRUE
"Gm21917",TRUE
"Gm2447",TRUE
"Gm24474",TRUE
"Gm2479",TRUE
"Gm2511",FALSE
"Gm26640",FALSE
"Gm26663",TRUE
"Gm26713",FALSE
"Gm26829",FALSE
"Gm26849",TRUE
"Gm26870",FALSE
"Gm27166",TRUE
"Gm27204",TRUE
"Gm28172",FALSE
"Gm28370",FALSE
"Gm28387",FALSE
"Gm28845",FALSE
"Gm28981",FALSE
"Gm29018",TRUE
"Gm29040",TRUE
"Gm29099",FALSE
"Gm29185",TRUE
"Gm29387",TRUE
"Gm29539",TRUE
"Gm29669",TRUE
"Gm29682",TRUE
"Gm29724",TRUE
"Gm30034",TRUE
"Gm30165",TRUE
"Gm30302",FALSE
"Gm3054",TRUE
"Gm31013",TRUE
"Gm3127",TRUE
"Gm31522",TRUE
"Gm31693",TRUE
"Gm31822",TRUE
"Gm32172",TRUE
"Gm32369",TRUE
"Gm32401",TRUE
"Gm32455",TRUE
"Gm32569",TRUE
"Gm32591",TRUE
"Gm32884",TRUE
"Gm33035",TRUE
"Gm33056",TRUE
"Gm33111",TRUE
"Gm33263",TRUE
"Gm33677",TRUE
"Gm33843",TRUE
"Gm33969",TRUE
"Gm33979",TRUE
"Gm34045",TRUE
"Gm34078",TRUE
"Gm34158",TRUE
"Gm34225",TRUE
"Gm34240",TRUE
"Gm34297",TRUE
"Gm34419",TRUE
"Gm34549",TRUE
"Gm34623",TRUE
"Gm34664",TRUE
"Gm34907",TRUE
"Gm34933",TRUE
"Gm35019",TRUE
"Gm35101",TRUE
"Gm35135",TRUE
"Gm35164",TRUE
"Gm35281",TRUE
"Gm35288",TRUE
"Gm35801",TRUE
"Gm36011",TRUE
"Gm36229",TRUE
"Gm36235",TRUE
"Gm36431",TRUE
"Gm36485",TRUE
"Gm36595",TRUE
"Gm36642",TRUE
"Gm36736",TRUE
"Gm36849",TRUE
"Gm36855",TRUE
"Gm36899",TRUE
"Gm37068",FALSE
"Gm37073",FALSE
"Gm37134",FALSE
"Gm37223",FALSE
"Gm37381",FALSE
"Gm37754",TRUE
"Gm37799",FALSE
"Gm37839",FALSE
"Gm38101",FALSE
"Gm38250",TRUE
"Gm38326",TRUE
"Gm38509",TRUE
"Gm38554",TRUE
"Gm38590",TRUE
"Gm38642",TRUE
"Gm38839",TRUE
"Gm3898",TRUE
"Gm39075",TRUE
"Gm39204",TRUE
"Gm39232",TRUE
"Gm40153",TRUE
"Gm40392",TRUE
"Gm40437",TRUE
"Gm40538",TRUE
"Gm40603",TRUE
"Gm40761",TRUE
"Gm40849",TRUE
"Gm40884",TRUE
"Gm40918",TRUE
"Gm41311",TRUE
"Gm4211",TRUE
"Gm42468",FALSE
"Gm42524",FALSE
"Gm42601",FALSE
"Gm42610",FALSE
"Gm42745",TRUE
"Gm42775",FALSE
"Gm42952",FALSE
"Gm42957",FALSE
"Gm43016",FALSE
