profile,cluster
Gm42529,1
Gm15908,2
Gm9871,2
Gm29185,2
Lyg2,2
Wdr20rt,2
Sun5,2
Gm43263,2
Timm8a2,1
Olfr1191-ps1,2
Olfr160,2
2310040G07Rik,1
Enam,2
1700061J23Rik,2
Tarm1,1
Pinlyp,1
Cd27,1
Sox15,1
Gm45336,2
Gm15848,2
Gm11651,2
Gm49324,1
C030007H22Rik,2
Gm49116,2
4930430A15Rik,1
Olfr718-ps1,2
Sult3a2,2
2310016D03Rik,2
Gm39075,2
Gm11730,2
Gm32455,2
Zc3h12a,1
4930519A11Rik,1
Tnfsf8,2
Gm28578,1
Gm12002,2
Vmn2r100,2
Gm41311,2
Gm45151,1
Gm12589,2
1700092E19Rik,1
Vmn2r98,2
Gm11861,2
Mt4,2
Cyp3a25,2
Gm44693,2
4930567H12Rik,2
Pax4,2
Pitpnm2os2,1
Gm13010,2
Apol9b,2
Gm39204,2
4930448C13Rik,2
Gm47902,2
Syce1,1
4930449C09Rik,2
A4gnt,2
4930584F24Rik,2
4930554C24Rik,2
Snhg7os,1
Gm31693,2
Ttc24,2
Zfp957,2
Platr29,2
Fcrl6,1
Rdh19,2
Gm15999,1
Mogat1,2
Vmn2r102,2
Slfn3,1
Psg29,2
Olfr115,2
Klhl38,1
Prss51,2
Glipr1l2,2
Calhm1,2
Vmn2r120,2
Gm47360,2
Gm33222,1
Gm38326,2
Gm5426,1
AC123977.1,2
Gm32591,2
Traj49,2
Gm20468,2
5031415H12Rik,1
Gm30075,1
Tshb,2
Defb30,2
AC129178.1,2
Fmo9,2
Gm27166,2
4930548G14Rik,2
Astl,2
Gm34158,2
9930111H07Rik,2
Gm35281,2
Pilrb1,2
Gm44175,1
Olfr139,2
Gm26535,1
Gm40538,2
Gm44516,1
Gm26799,1
Gpx5,2
Olfr107,2
Gm9921,2
Gm33979,2
4930534D22Rik,2
Gm37068,2
Gm32369,2
C230099D08Rik,2
Gm16133,1
Gm35019,2
Cyp4a12b,2
Gm47715,2
CT027693.2,2
Ocm,1
1700046C09Rik,2
Gm17514,1
Vmn2r112,2
Gm13267,2
Gm5907,2
Gm20508,2
Gm26829,2
Gm12930,2
Olfr1330,2
Gm28387,2
Tmem92,2
Vmn1r22,2
Tmem238l,2
Foxo6os,2
4930578I06Rik,2
Nat3,2
Ccdc144b,2
Gm33035,2
Vmn2r83,2
Naa11,2
Prok1,2
Tas1r2,2
Gm29018,2
Tgm6,1
Olfr876,2
Gm49240,1
Gm42952,2
Olfr945,2
Gm7145,2
Olfr60,2
Gm16029,1
Gm30034,2
Gm15097,2
Gm12505,2
Gm49371,2
Gm29539,2
Gm48821,2
Gm34045,2
Gm17546,2
Lipf,2
Cldn34d,1
Defb23,2
Gm44759,2
1700029N11Rik,2
Olfr391-ps,2
4930428O21Rik,1
Gm37839,2
Triml1,2
Klra9,2
Gm1720,1
Gm28940,1
Ang4,2
Gm36011,2
Hapln2,2
Gm49224,2
Krt72,2
Gm21221,2
Gm3054,2
1700063H04Rik,2
Gm9961,2
Syce1l,1
Igha,2
Cst11,2
Gm15083,1
4930518P08Rik,2
Prss39,2
Gm2511,2
Gm37799,2
Gm47109,2
Ptchd3,1
AC125117.1,2
Gm42468,2
Fam71e2,2
Olfr1428,2
Gm40603,2
Gm9047,1
Gm16161,1
Msmb,2
Cxcl2,2
Igkc,2
Defb20,2
Fbxw16,2
Gm47518,2
Sh2d2a,1
Gm10482,2
AC139580.1,2
Gm49035,2
AC163720.3,1
Gm44929,1
Gm33474,1
Gm48073,2
4930518J21Rik,2
Gm47144,2
Vmn2r117,2
Asic5,2
Gm14547,1
Gm36849,2
4930488B22Rik,2
Gm28172,2
Olfr1392,2
Gm48024,2
Vmn2r80,2
Gm38590,2
AC157566.4,1
Ceacam14,2
Gm44738,2
Gm12974,2
Gm13269,1
4930402F06Rik,2
D530049I02Rik,2
Gm37073,2
Gm38554,2
Vmn2r109,2
Ces1h,2
Gm15917,1
Olfr984,1
Gm48847,2
9530003J23Rik,1
Gm47001,1
Cd209b,2
Gm42495,1
Gm31822,2
Gm34240,2
Tuba3b,2
Gm34419,2
Prss30,2
Gstt4,1
Gm32172,2
1700028D13Rik,2
BC048507,2
Gm47827,1
Rhox4c,2
Tmco5b,2
Gm47326,2
Gm45620,1
Ffar1,2
Gm17374,2
Ido1,2
0610006L08Rik,2
Gm48336,2
Vmn1r181,2
Il19,2
Gm6416,2
Gm49366,1
Gm49106,2
Gm17116,1
Gm45723,2
Gm45646,1
Gm26579,1
Gm6408,1
D7Ertd128e,2
Psg21,2
A630091E08Rik,1
Gm48721,2
Gm49217,2
Cer1,1
1700042G15Rik,2
Gm5092,2
4933402J07Rik,1
Gm30292,1
Gm49008,2
Vmn1r5,2
Stra8,1
Gm28643,1
E330014E10Rik,2
Olfr118,2
Gm35801,2
