profile,cluster
Ambra1,1
Grik2,1
Dpp6,2
Ncapg2,1
Slit2,1
Ctsz,1
Ppp2cb,1
Npy,2
Fam46c,2
Zcchc18,1
Rrp1b,1
Col9a1,2
Apex2,2
Ttk,1
Reln,1
Cntn5,2
Rcan2,2
Ralgapa2,1
Ap3b2,1
Naa60,1
Mdga2,2
Sst,1
Angptl4,2
Asxl3,1
Lyz2,2
Lrrc4c,2
Acad9,1
Mpi,1
Zic1,1
Usp38,1
Tnnc2,2
Psmb10,1
Ankra2,1
Rora,1
Zdhhc21,1
Prkg1,2
Tenm2,1
Tardbp,1
Iqsec3,2
Gstm1,2
Perp,2
Hspb11,1
Piezo2,2
Brip1os,1
Serpina6,2
Acaa2,1
Scg3,1
Pkd1,2
Nr1h2,1
Dmd,1
Avl9,1
Cnr1,1
Xpo5,1
Slc15a3,1
Col25a1,1
Matn2,2
Elmod1,2
Dact3,2
Clu,2
Mknk2,1
Slc4a3,2
Apoc2,2
Dimt1,1
E330009J07Rik,1
Dnah14,1
Hic1,2
S100a8,2
Cacna2d1,1
Pi4ka,1
Gm20442,1
Pf4,1
Prag1,1
Arhgap20,2
Numb,1
Adgrl3,1
Krt17,2
Lst1,2
Jag2,2
Wwox,1
Fam19a1,2
Rabl6,1
F13a1,2
Plpp1,1
Tmem205,1
Egfem1,1
Pomc,1
Rabif,1
Pik3r2,1
Syt7,2
Polr1e,1
Ccndbp1,1
Ambp,2
Hoxa5,1
Adamts2,2
Carnmt1,1
Slc25a33,1
Tnnt1,1
Cdh1,2
Prrc2a,1
Sdk1,1
Zfp512,1
Plbd2,2
Il17rd,1
Senp7,1
Rapgef6,1
Kdm6a,1
Fga,2
Plekhh1,1
Amer2,1
Pank4,1
Lama5,2
Bdh1,1
Rbfa,1
Arhgef39,1
Gtdc1,1
Poglut1,1
Emc3,1
Trp53i13,1
Sde2,1
Slc2a1,1
Abat,1
Anxa1,2
Trappc11,1
Rictor,1
Sfn,2
Gm45774,2
Esrrg,2
Zfp688,1
Enox1,1
S100a9,2
Gm26551,1
Atp2b1,2
Prr36,1
Ehd2,2
AC154683.1,1
Clstn3,2
Scn3a,1
Plxna2,1
Hoxb9,2
Zdhhc2,1
Wnt6,2
Zfp236,1
Eomes,1
Snca,2
Galnt7,1
Nhlh1,1
Rnf169,1
Hpse2,1
Ranbp3l,2
Csmd1,2
Opa1,1
Dvl2,1
Eya2,1
Rab12,1
Fbxo34,1
Noc3l,1
Rybp,1
Fbxw8,1
St8sia4,2
Osbpl11,1
Nppa,1
Wnk2,1
Olfml2a,2
Vkorc1l1,1
Coasy,1
Gle1,1
Cytl1,2
Kif26b,2
Kif3a,1
Cbln2,2
Kirrel3,2
Upf3b,1
Zfp286,1
Taok2,2
Ctps2,1
Tank,1
4930516B21Rik,1
Map3k11,2
Ercc8,1
Acan,2
Tmem232,1
Krt19,2
Matn1,2
Exoc7,1
Lca5,1
Cartpt,1
Kcnb2,2
Aars2,1
Csrp3,1
Hspa12b,2
En2,1
Apom,2
Cenpi,1
Tceal7,2
Tac1,2
Cyp26b1,1
Akap8l,1
Eaf1,1
Pdlim1,1
Sbsn,1
Pitpnm1,2
Runx2,2
Hprt,1
Cdh18,2
Plscr1,1
Astn2,2
Cacng7,1
Fam57a,1
Tfap2b,1
Ccdc181,1
Ggct,1
Bnc2,2
Ankle2,1
Arhgef1,2
Gm26881,1
Mmp23,2
Zkscan8,1
Prr7,1
Cdr2,1
Tle2,2
Zfpm2,1
Zmym6,1
Svop,1
Cdk19,1
Cdon,1
Myh11,2
Fzd7,1
B4galt3,1
Fam49a,1
Ccdc85a,2
Usp45,1
Dram2,1
Anks3,1
Oaf,1
Gtpbp3,1
Slit3,1
Grid2,1
Cnmd,2
Sos2,1
Olfml2b,2
Gria3,2
Mafa,2
Tmem64,2
Ccdc51,1
Ipmk,1
Mir17hg,1
Tm6sf1,1
Mpped1,1
Msx1,1
Rnf150,1
Nalcn,2
Nfrkb,1
3110079O15Rik,2
Gm29260,1
Stx4a,1
Atg2a,2
Cntn3,2
Serping1,2
Mybpc3,1
C87436,1
Gdpd2,1
Otulin,1
Nrg1,1
Ctnna3,2
Mlc1,1
Adarb2,1
Ppp2r3a,1
Serpina1e,2
Ccdc182,1
Sncg,2
Fgf14,1
Csf2ra,2
Ppp1r15a,2
Ibsp,2
Srpk3,2
Khk,2
Casc4,1
Gm20425,2
Tnni3,1
Ntpcr,1
Ermap,2
Tmem159,1
Cyb561,2
Ofd1,1
Pomgnt1,1
Rhbdd2,1
Dffa,1
Slit1,1
Rgs4,2
Phka2,1
Samd4,1
Rab39b,1
Ttc30a1,1
Rasa4,2
Trank1,2
Trp63,2
Spryd3,2
Alas2,2
Pcsk2,2
Emid1,1
Usp20,2
Dnmt3b,1
Rgs6,2
Rspo2,1
Rbm20,1
Tmem201,1
Cnksr3,1
Klc2,2
Mast3,2
Lrrc14,1
Lemd2,1
Gypa,2
4930430F08Rik,1
Reep4,1
Tmem185b,1
Clcn3,1
Mavs,1
Chrnb2,1
Tex14,1
Chtf18,1
Atxn1,1
Poli,1
Phlpp2,1
Ifi27l2a,2
Kel,2
Tbr1,1
Lpl,2
Dnajc27,1
Gm11973,1
Lrrc1,1
Fancf,1
Aldh1a7,2
Cyp4f15,1
Rimkla,2
Mgat4a,2
Rnf19b,1
Slc8a1,1
Ttn,1
A230057D06Rik,1
Sirt7,1
Mlycd,1
Gm26518,1
N4bp3,2
Esrp1,2
Cyp2f2,2
Trpv2,2
Frzb,1
Rhov,2
Gdpd5,2
Adgrf5,2
Tmem88,1
Pipox,1
Nebl,2
Nat14,1
Tacstd2,2
Morc3,1
Lor,1
Wdr86,2
Slc25a27,1
Rbm47,2
Zfp873,1
Tgfbr3,2
Pnliprp1,2
Ntrk1,2
Epha7,1
Neb,2
Pou6f2,2
Slc29a3,2
Alg1,1
Taok3,1
Gm38037,1
Clcn1,2
Prrg3,2
Tbc1d20,1
Ppl,2
Rras2,1
Pcyt1b,1
Wfikkn2,2
Dsc2,2
Mpzl2,2
Tac2,2
Il1rapl1,2
1700052K11Rik,1
Naga,2
Myh14,2
Gdap2,1
Rhog,2
Pcsk9,2
Msrb1,1
Phka1,1
Synpo2l,1
6430548M08Rik,1
S100a4,2
Krt1,1
Hspb1,1
Bend4,1
Nts,2
C1qtnf2,2
Stac2,2
Gm43518,1
Foxp2,1
Flvcr1,1
Efna3,1
Ctrb1,2
Spp1,2
Zbtb11os1,1
Zfp592,1
Fbxl18,1
Aifm3,2
Atrn,1
Fastkd5,1
Triqk,1
Lypd6b,2
Polr1a,1
Fbxo36,1
AI480526,2
Ncf2,2
Grm1,2
Sgcd,2
Itga9,2
Upk1b,2
Lysmd1,1
Ccl9,2
Myh6,1
Lama2,2
Cracr2b,2
Mog,2
Prkx,1
Mdga1,1
Il1rapl2,2
Prdm13,1
Gm49380,1
Stk11ip,1
Lgals3,2
1500009C09Rik,1
Krtdap,2
Ada,1
Kcnk5,1
Ifi35,2
Plekha2,2
Gm26606,1
Pcdhga12,2
Mfsd12,2
Lrp11,1
Dag1,1
Shisa6,2
4732471J01Rik,1
AL732506.1,2
Med12l,1
Chrm3,2
Klhl8,1
A030001D20Rik,1
Whamm,1
Htr2c,2
Tnip1,1
Mib2,1
Lrrc37a,1
Wdr66,1
Nckap5l,1
Gabrp,2
Cpa3,2
6720427I07Rik,1
2900079G21Rik,2
Mybpc1,2
Ush2a,2
Dbh,2
Susd2,2
Polrmt,1
Slc39a1,1
Gm49383,1
Mpl,2
Lrrn2,1
Sftpc,2
Nrros,2
Alk,2
Bcorl1,1
Pln,1
Cpa1,2
Polg2,1
Brpf3,2
Hook2,1
Krt77,1
Dennd2c,2
C1qtnf3,1
Slc9a1,2
Cpxm2,2
Kcne2,1
Tyk2,1
Zfp398,1
Gm29394,1
Insl6,1
Ephb3,1
Fezf1,1
Stox1,1
Zfand2a,1
Armc5,2
Gm45323,2
Lats2,1
Col6a4,2
Pkp3,2
Mef2c,1
Stfa1,2
Sbno2,2
Dennd3,2
Clps,2
Ankrd55,2
Lgals7,1
Gm16083,2
Pla2g6,1
Nckipsd,1
Ngp,2
Gabra1,2
Csgalnact1,2
Slc2a10,2
Ptges,2
Unc5c,1
Calm4,1
Gm17276,1
Wnt3a,1
Hist1h4m,1
Spns2,1
Dynlrb2,1
Cp,2
Krt4,2
Fam159a,1
Bbs10,1
Pde3a,2
Lama3,2
Fam3b,1
Srgn,2
Camp,2
Trim66,2
Kcnq5,2
Gm26604,1
Pacsin1,2
Mctp2,2
Sema3a,1
Tctn1,1
Hoxb1,1
Clcn2,1
Ptprm,2
Lrrc51,1
Ccdc62,1
Zfp28,1
Ugt2a2,2
Barx1,1
Gm28370,2
Kctd14,1
Krt6a,2
Gm10800,1
Siah3,1
Tspan2,1
Lrrtm3,1
Dct,1
Ulk3,2
Ganc,1
BC100530,2
Gm13481,2
Star,1
Epn3,2
Mypop,1
Il17rc,2
Cpa6,2
Zcwpw1,1
Itgb4,2
Asprv1,1
BC025920,1
Arhgap9,2
1700109H08Rik,1
Syt12,2
Adamdec1,2
Ncmap,2
Zfp994,1
Dmkn,1
Lrch4,1
Aldh3b1,2
Ankrd1,1
Sec31b,1
Slc22a15,1
Pmch,1
Mogat2,1
Gk,1
Upk3bl,2
Car8,2
Kcns1,2
Gm7008,1
Tff3,2
Arhgef16,2
Tepsin,1
Hdc,2
Defb11,1
Col20a1,2
Gm9885,1
Smad7,1
Avp,1
Gzma,1
Car3,2
Abcb9,2
Zbtb3,1
Gimap5,2
Wnt1,1
A630010A05Rik,1
Usp36,1
Llgl2,2
Tgm4,2
Scgb3a2,2
Pdzk1,1
Cfap61,1
Inpp5j,2
Creb3l2,1
Abcc4,2
Pex26,1
Hist1h2be,1
Actn3,2
Slc27a2,2
Man2c1os,1
Grm4,1
Slc19a2,1
Scml4,2
A930029G22Rik,1
Sft2d2,1
BC051142,1
Lrriq1,1
Mrm1,1
Gm10602,1
Chrng,2
Ppp1r12b,1
Cast,1
Fam25c,1
Scn11a,2
Slc25a43,1
Evx1,1
Enthd1,2
Ano5,2
Grhl3,2
Acoxl,2
K230010J24Rik,2
Gm32884,2
B930092H01Rik,2
Fkbp6,1
Ofcc1,2
Htr4,2
Bhlhe40,2
Irx4,1
Adcy6,1
Kremen2,2
Ptchd4,2
Gm46440,1
Fyb2,2
Ly6d,1
Ovol1,2
Pi16,1
AV064505,2
Gm10801,1
Map2k3os,1
Akr1b7,2
Acer1,1
Tnfrsf8,2
Lhx4,1
Adamtsl1,1
Pcdhb3,2
9330136K24Rik,1
A630023P12Rik,2
Qprt,1
Dnah7c,1
Parp4,2
Ovol2,2
AC166344.1,2
Dram1,2
Rtp2,2
Aox4,1
Ins2,2
Gm28845,2
Sytl1,2
Fa2h,2
Dkk4,2
Hr,2
Arid3a,1
Hoxd9,1
Gm44196,2
Themis,2
Zfp936,2
Txk,2
Gm43016,2
Ren1,2
Gm38101,2
Gm45740,2
Krt13,2
Sprr1a,2
Lrrc36,1
Spaca9,1
Skint9,2
Trim54,2
Oasl2,2
Tph2,2
Gm29682,2
Crebl2,1
Wfdc18,2
AL590144.2,1
Cysrt1,1
Catsperb,2
9030612E09Rik,1
Myo5c,2
Plb1,2
Ccer2,1
6030440G07Rik,2
Gm27184,1
Cmtm5,2
Pkhd1l1,2
Isoc2a,1
Gm12381,2
Smim6,2
Prl8a2,1
6430710C18Rik,2
Map7d3,1
Capns2,1
Gm42903,1
Mlip,1
Btg4,2
Gm36899,2
Cbr3,2
Card14,2
Ihh,2
4732487G21Rik,1
Atp2c2,2
Kncn,2
Wnt10a,2
9230104L09Rik,2
Gm4869,1
Pcdhgb4,1
Dnah2,2
Gm47712,2
Krt23,2
Acad12,2
Gm47438,2
Npsr1,2
Morc1,2
Gm38642,2
1700102P08Rik,1
Gm13849,1
Pyy,1
Cacna2d4,2
Gm45307,2
Malrd1,2
Spata17,1
Ros1,2
Gm48715,2
E530011L22Rik,2
Gm13470,2
Ascl4,2
Sit1,2
Gcg,1
Gm47729,2
Mybpc2,1
Fbxo15,1
Gm13561,2
Gm15567,1
Olfr432,2
Deup1,2
Plac1,1
Plcb2,2
Col6a5,2
Gm48485,2
Lrrc6,2
2310001H17Rik,2
9230109A22Rik,2
AC102334.1,2
Slc7a3,2
Plscr2,2
Npas2,1
Rsph10b,1
Gm42601,2
B230110G15Rik,1
Kcnab3,1
Slc26a9,2
Gm45708,2
Gm11998,2
C630028M04Rik,2
Gm43824,2
Mslnl,2
Gm44626,1
4732496C06Rik,1
Gm21738,1
Ppara,2
Ccdc68,2
Mal,2
Gm32401,2
Gpr182,1
Hormad1,1
Gm26982,1
Gm31946,1
Gm40918,2
Tnfaip3,1
Gm9962,2
Piwil2,2
CT030713.2,2
4933404K13Rik,2
Oc90,2
AC034116.3,1
AC166061.1,2
Zmynd10,1
Gm12829,2
Gm10134,2
Bloc1s6os,1
Fbxw26,2
Gm37933,1
Gm35101,2
Muc1,2
Kcnj15,2
1700014L14Rik,2
Bmp5,2
Gm48616,1
Wdr64,2
Gm10687,2
A430078G23Rik,2
Gm37381,2
Flg,1
Gm16185,1
4930554H23Rik,2
Hoxa1,1
Olfr71,2
Grhl1,2
Slc12a1,2
F7,2
Spata18,2
Card11,2
Art1,1
Gm15972,1
Gm16685,2
1700030N03Rik,2
Ttc22,2
Gm35288,2
Hsh2d,2
Gm26713,2
Mctp1,1
Gm5524,2
Gipr,1
Gm27204,2
Pramel7,2
Oas3,2
Car12,2
Gm34933,2
2010005H15Rik,2
Gm47456,2
Gm26849,2
Exph5,2
Dppa2,2
AU019990,2
Gm17215,2
Gm31013,2
Gm44618,1
Gm16630,2
Cutal,2
Gper1,1
Rilp,2
Zfp831,2
AC144408.3,1
Gm17324,1
4930579P08Rik,2
Anxa9,1
AC163720.2,2
1700052H01Rik,2
Gm47448,2
Slc10a6,2
Psca,1
Syt10,2
Cga,1
Pcdhb13,2
1700011H14Rik,2
4933422A05Rik,1
Gm12946,2
Gm33180,1
Gm5570,2
Gm2479,2
Serpinb5,2
Anxa10,2
Gm12239,1
Serpinb2,1
D930020B18Rik,2
Tcp10c,2
Prr27,2
1700012B07Rik,2
AC168977.1,2
Gm12649,2
Gm4211,2
Allc,2
4732465J04Rik,2
Tdrd9,2
Kbtbd12,2
Olfr1030,2
Gm13605,2
Ly6g5c,2
1700023F02Rik,2
Ankrd22,2
Olfr869,2
Papln,2
Gm26852,1
Gm34078,2
4930513D17Rik,2
Olfr720,2
Ces1f,2
Gm34907,2
Il7,2
Gm36485,2
4930430F21Rik,2
Gzmk,2
D6Ertd474e,2
Duox1,2
9130230L23Rik,2
Gm26870,2
Gm36431,2
AC124532.2,2
1700012I11Rik,2
Gm16194,1
Rbp2,1
Fabp12,2
Gm33111,2
Gm21284,2
Gm12248,1
Abca12,1
A530021J07Rik,2
Ctf2,1
Slc6a14,2
Stfa3,2
Gm34297,2
Catsperg2,2
Nipal1,2
Tlx1os,2
Topaz1,1
Tdrd12,2
Gm47067,2
Klrb1,1
Sec14l4,2
Gm47262,2
AC127568.1,2
Gm31522,2
Gm30302,2
Gm10415,2
Gm34549,2
Gm47777,2
Gm36670,1
Btc,2
AC116769.1,2
Ppbp,1
Fam169b,2
Gm13912,2
Gm10248,2
Fam240a,2
Gm12145,2
S100a3,2
H2-Q4,1
Il23a,2
Ankrd60,2
Gm32569,2
Olfr93,2
Tcp10b,2
Fbxw19,2
Abca6,2
Asb12,2
Gm28981,2
Gm42791,1
Gm38509,2
Gm29669,2
Gm10390,1
Cyp11a1,2
Olfr704,2
Tchh,1
Gm11011,2
Adam28,2
Gm46401,2
Kir3dl2,2
Acp7,2
Gm48370,2
Gm46516,2
4930509E16Rik,2
Gm12506,2
Gm4593,2
Gm33460,1
Gm14243,1
Gm10912,2
Gm44956,2
4930441J16Rik,2
Rhox6,1
Crhr2,2
Xdh,2
Gm34664,2
Adam21,2
Gm11961,1
AC133498.1,2
Tgm7,2
Gm15690,2
Gm38839,2
4932412D23Rik,2
Ppp1r42,1
CN725425,2
Mccc1os,1
Gm17949,2
Gm40761,2
Gm26665,1
Sp6,2
Plcz1,2
Gm8739,2
Gm2453,1
Fads6,2
AC100400.1,2
Gm49042,2
1700030F04Rik,2
Gm34623,2
Gm47430,1
Cyp11b1,2
Trim60,2
Gm11592,2
Mlxipl,2
4833427F10Rik,2
Sult2a3,2
Nme9,1
Vmn1r86,2
1700026D11Rik,2
Gm48648,2
Slc6a19,2
Gm48942,2
Gm36642,2
Pcp2,1
Ccdc172,2
Nlrp4a,2
Gm29724,2
Gm47861,2
1700109I08Rik,2
Calml3,1
Vmn2r30,2
Cyp2j11,2
Hrh4,2
Gm40849,2
5031425F14Rik,1
Gm26794,1
Krt79,1
Majin,2
Gm13201,1
Spinkl,2
Gm47232,2
Gm12670,2
C030018K13Rik,1
Tecta,1
Mak,1
Gm45044,2
1700065J11Rik,2
8030442B05Rik,2
4930502A04Rik,2
B630019A10Rik,1
Eda2r,1
A1bg,2
Gm10739,2
Gm11337,2
Gm43192,2
Gm29455,1
Dsg3,2
Gdpd4,2
Gm43731,2
Slco1b2,2
AU018091,2
Gm35135,2
1700047G03Rik,2
Gm44107,2
Gm5833,2
Erich6b,2
Klra17,2
Muc3,2
Strc,2
Siglec1,2
Olfr986,2
Rpl3l,2
Gm36235,2
Gm12436,2
Kank4os,1
Slc44a4,2
Olfr288,2
Gm33056,2
Gm47757,1
Gm3898,2
Gm14033,2
Serpinb3b,2
Gm4894,2
Ceacam20,2
1700024I08Rik,2
Gm16188,2
Gm33843,2
Gm33263,2
Fbxw27,2
1700095J07Rik,2
Gm14019,1
Samd7,2
4930570N18Rik,1
Hsd3b1,2
Dnmt3l,2
Gm36855,2
Gm30978,1
Gm48393,2
Gm36595,2
AC151530.1,2
Gm26663,2
A830008E24Rik,2
Dpy19l2,2
Gm21917,2
Vmn2r19,2
Tsks,2
Carmn,2
Sult2a5,2
Hes7,1
Gm2447,2
Fmr1os,1
Vmn2r78,2
Gm44788,2
Gm36736,2
Gm5460,2
Gm29346,1
Gm14703,2
Amdhd1,1
Gm48697,2
1700109G15Rik,1
Gm13398,2
Gm10635,2
Gm14206,2
Prss43,2
Gm30165,2
Gm29387,2
Tmem40,1
Gm17173,2
Ttc30a2,1
Slco1a5,2
1700001C02Rik,1
Cdkn2a,2
Gm5083,1
E130218I03Rik,1
Gm34225,2
Asz1,2
Gm15477,2
4732414G09Rik,1
Vmn2r26,2
Pla2g10os,2
Nlrp4b,2
Gm26640,2
Agr3,2
5033426E14Rik,2
Vmn2r73,2
Krt27,2
Gm36229,2
Theg,2
Gm14152,2
Gm11820,2
4930435F18Rik,2
1700008P02Rik,2
Vmn1r73,2
4930550L24Rik,2
Dkkl1,2
Kcnab3os,1
Aldh3a1,2
Lat2,1
Gm47979,2
Gm47002,2
5430427O19Rik,2
Gm17767,2
Spink5,2
Gm29099,2
Ccl17,2
Gm45282,1
Nxf7,2
Ace3,2
Cd8b1,2
Gm48662,2
Gm13373,2
Clec4a4,2
Dsg1c,2
Ptgs2os2,2
4933402J10Rik,2
5330439M10Rik,2
Gm24474,2
Gm35164,2
Gm11725,2
Gm47423,1
Tmprss7,2
Myoc,2
1700062C10Rik,2
Gm37134,2
4930431L21Rik,2
Gm37223,2
Mep1b,2
Gm11234,2
Gm33969,2
Gm45680,2
Vmn2r107,2
1700018P08Rik,2
Gm4489,2
Il9r,1
Gm48089,1
Cyp2c55,2
Igfn1,2
Gm34921,1
Gsdma2,1
Odf3l2,2
Olfr1385,2
Gm40153,2
Gm15262,2
Gm13497,2
Gm27209,1
Cd22,2
Gm16191,1
Gm15524,1
Vmn2r71,2
Gm42957,2
Trim50,1
Gm45781,2
Gm42524,2
Gm5608,2
Gm42745,2
Gm42610,2
Gm40884,2
Gm38250,2
Glt28d2,2
Gm45576,2
Gm33677,2
Sugct,1
Gm12762,1
Gm3127,2
4930556N09Rik,2
Gm37754,2
Gm47465,2
Gm40437,2
Folh1,1
Zar1l,2
Olfr1322,2
Zdhhc11,2
Gm12962,2
Gm47214,2
AC154345.1,2
Gm20356,2
Mrgprd,2
Gm43388,2
C130079G13Rik,1
Gm29040,2
Gm12510,2
Gm35239,1
Gm9733,2
Gm14061,2
Armc12,1
Gm45368,2
Gm47682,2
Gm15221,2
G6pc,1
Adra1d,2
Vmn1r203,2
Gm45824,1
Tmigd3,1
Krt25,2
Olfr372,2
Prok2,2
AC136372.1,1
Acnat2,2
AC124097.1,2
Idi2,2
4930404N11Rik,2
Gm4847,2
Cyp2a12,2
Cyp3a57,2
Galntl5,2
Gm15091,1
Gpha2,1
Gm12949,1
6330403N20Rik,1
Fgf23,2
Gm23925,1
Ppef2,2
Gdf3,1
Olfr710,2
Padi3,2
6330576A10Rik,1
4930453C13Rik,1
Sept14,2
Gm13582,2
Olfr157,2
AC147230.1,2
Gm13420,2
Gm42775,2
Glipr1l1,2
Gm48834,2
Gm47113,2
Gm47774,2
Gm49198,2
Cd3e,2
Lipo5,2
Gm2163,1
Gm40392,2
AC093479.1,1
Prss27,1
Npbwr1,2
Cyp2b23,2
Ceacam3,2
Magea2,2
Gm35823,1
Defb40,2
Gm39232,2
A630095N17Rik,2
Gm11548,2
Gm498,2
Gm14268,1
Gm14226,1
Tomm20l,2
Lrrc52,2
Bpifb4,2
Aqp7,2
Olfr398,2
9230112D13Rik,2
