"SYMBOL","mapped"
"1500009C09Rik",FALSE
"6430548M08Rik",TRUE
"A230057D06Rik",TRUE
"Abat",TRUE
"Acaa2",TRUE
"Acan",TRUE
"Acta2",TRUE
"Actc1",TRUE
"Actg2",TRUE
"Actn2",TRUE
"Adarb2",TRUE
"Adgrf5",TRUE
"AI480526",TRUE
"Akap8l",TRUE
"Aldh3b1",TRUE
"Alg1",TRUE
"Ambp",TRUE
"Ankrd1",TRUE
"Anks3",TRUE
"Ap3b2",TRUE
"Apoa1",TRUE
"Apoa2",TRUE
"Apoc2",TRUE
"Apoe",TRUE
"Apom",TRUE
"Araf",TRUE
"Arhgap9",TRUE
"Arhgef1",TRUE
"Armc5",TRUE
"Aspn",TRUE
"Astn2",TRUE
"Atg2a",TRUE
"Atp2b1",TRUE
"Atrn",TRUE
"Avp",TRUE
"B4galt3",TRUE
"Barx1",TRUE
"BC005537",TRUE
"Bsg",TRUE
"C1qtnf3",TRUE
"Cables2",TRUE
"Cacng4",TRUE
"Camk2n1",TRUE
"Car8",TRUE
"Casc4",FALSE
"Cbln2",TRUE
"Ccl9",TRUE
"Ccser1",TRUE
"Cd200",TRUE
"Cdk5r1",TRUE
"Cdon",TRUE
"Celf2",TRUE
"Celf4",TRUE
"Chrnb2",TRUE
"Clcn1",TRUE
"Clps",TRUE
"Clstn3",TRUE
"Clu",TRUE
"Cnmd",TRUE
"Cnn2",TRUE
"Cnr1",TRUE
"Cntnap2",TRUE
"Col14a1",TRUE
"Col20a1",TRUE
"Col2a1",TRUE
"Col9a1",TRUE
"Col9a3",TRUE
"Cpa1",TRUE
"Cracr2b",TRUE
"Crmp1",TRUE
"Csf2ra",TRUE
"Csgalnact1",TRUE
"Csmd1",TRUE
"Csrp3",TRUE
"Ctps2",TRUE
"Ctrb1",TRUE
"Ctsz",TRUE
"Cul7",TRUE
"Cxcl12",TRUE
"Cyp26b1",TRUE
"Cytl1",TRUE
"Dact3",TRUE
"Dcx",TRUE
"Defb11",TRUE
"Dnajc5",TRUE
"Dvl2",TRUE
"Dynlrb2",TRUE
"Ebf3",TRUE
"Efna3",TRUE
"Ehd2",TRUE
"Elavl3",TRUE
"Elmod1",TRUE
"Emc1",TRUE
"Emc3",TRUE
"Enho",TRUE
"Ephb3",TRUE
"Esrrg",TRUE
"Exoc7",TRUE
"Eya2",TRUE
"F13a1",TRUE
"Fam155a",FALSE
"Fam49a",FALSE
"Fbxl18",TRUE
"Fbxw8",TRUE
"Fgf14",TRUE
"Gabra1",TRUE
"Gap43",TRUE
"Gdpd5",TRUE
"Gle1",TRUE
"Gm20425",FALSE
"Gp1bb",TRUE
"Gpx1",TRUE
"Gria3",TRUE
"Grik2",TRUE
"Gstm1",TRUE
"Gzma",TRUE
"Hdlbp",TRUE
"Hic1",TRUE
"Hoxa5",TRUE
"Hoxb9",TRUE
"Hprt",FALSE
"Hsdl1",TRUE
"Hspb1",TRUE
"Htr2c",TRUE
"Ifi27l2a",TRUE
"Ifi35",TRUE
"Igf1",TRUE
"Igfbp5",TRUE
"Ina",TRUE
"Jmjd8",TRUE
"Kcne2",TRUE
"Khk",TRUE
"Kif3a",TRUE
"Klc2",TRUE
"Klhl8",TRUE
"Lamb2",TRUE
"Lats2",TRUE
"Lemd2",TRUE
"Lgals3",TRUE
"Lpl",TRUE
"Lrch4",TRUE
"Lrp11",TRUE
"Lrrc14",TRUE
"Lrrc4c",TRUE
"Lrrn2",TRUE
"Lrrtm3",TRUE
