"SYMBOL","mapped"
"1500009C09Rik",FALSE
"1700001C02Rik",FALSE
"1700016D06Rik",FALSE
"1700052K11Rik",TRUE
"1700092E19Rik",TRUE
"1700102P08Rik",TRUE
"1700109G15Rik",TRUE
"1700109H08Rik",TRUE
"2310040G07Rik",TRUE
"2700097O09Rik",TRUE
"4732414G09Rik",TRUE
"4732471J01Rik",TRUE
"4732487G21Rik",FALSE
"4732496C06Rik",TRUE
"4930428O21Rik",TRUE
"4930430A15Rik",FALSE
"4930430F08Rik",FALSE
"4930453C13Rik",TRUE
"4930516B21Rik",FALSE
"4930519A11Rik",TRUE
"4930570N18Rik",TRUE
"4933402J07Rik",TRUE
"4933422A05Rik",TRUE
"5031415H12Rik",TRUE
"5031425F14Rik",TRUE
"6330403N20Rik",TRUE
"6330576A10Rik",TRUE
"6430548M08Rik",TRUE
"6720427I07Rik",TRUE
"9030612E09Rik",TRUE
"9330136K24Rik",TRUE
"9530003J23Rik",FALSE
"A030001D20Rik",TRUE
"A230057D06Rik",TRUE
"A630010A05Rik",TRUE
"A630091E08Rik",TRUE
"A930029G22Rik",TRUE
"Aars2",TRUE
"Abat",TRUE
"Abca12",TRUE
"AC034116.3",FALSE
"AC093479.1",FALSE
"AC136372.1",FALSE
"AC144408.3",FALSE
"AC154683.1",FALSE
"AC157566.4",FALSE
"AC163720.3",FALSE
"Acaa2",TRUE
"Acad9",TRUE
"Acer1",TRUE
"Acss1",TRUE
"Actr1a",TRUE
"Ada",TRUE
"Adamtsl1",TRUE
"Adarb2",TRUE
"Adcy6",TRUE
"Adgrb3",TRUE
"Adgrl3",TRUE
"Adh5",TRUE
"Akap13",TRUE
"Akap8l",TRUE
"Aktip",TRUE
"AL590144.2",FALSE
"Alg1",TRUE
"Ambra1",TRUE
"Amdhd1",TRUE
"Amer2",TRUE
"Ankle2",TRUE
"Ankra2",TRUE
"Ankrd1",TRUE
"Ankrd49",TRUE
"Anks3",TRUE
"Anxa9",TRUE
"Aox4",TRUE
"Ap3b2",TRUE
"Ap4m1",TRUE
"Api5",TRUE
"Araf",TRUE
"Arfrp1",TRUE
"Arhgef39",TRUE
"Arid3a",TRUE
"Arl1",TRUE
"Armc1",TRUE
"Armc12",TRUE
"Art1",TRUE
"Arvcf",TRUE
"Arxes2",TRUE
"Ash1l",TRUE
"Asprv1",TRUE
"Asxl3",TRUE
"Atraid",TRUE
"Atrn",TRUE
"Atrnl1",TRUE
"Atxn1",TRUE
"Avl9",TRUE
"Avp",TRUE
"B230110G15Rik",TRUE
"B4galt3",TRUE
"B630019A10Rik",TRUE
"B9d1",TRUE
"Barx1",TRUE
"Bbip1",TRUE
"Bbs10",TRUE
"BC025920",TRUE
"BC051142",FALSE
"Bcorl1",TRUE
"Bdh1",TRUE
