time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
0.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,73.64191731094897,30.483038993753443,177,23,23,0,529,Brain,Brain
0.5,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,91.45127424368593,29.509194299149254,229,25,25,0,625,Brain,Brain
1.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,78.17817178247695,26.50107225753107,214,24,24,0,576,Brain,Brain
1.5,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,69.76195701670382,26.34372482857829,213,24,24,0,576,Brain,Brain
2.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,60.84796786552707,24.539828886209328,241,26,26,0,676,Brain,Brain
2.5,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,51.4816138763192,21.649580056084126,249,26,26,0,676,Brain,Brain
3.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,42.94522491727103,16.702092310854898,265,26,26,0,676,Brain,Brain
0.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,10.835459651048637,2.672575675206206,177,23,23,0,529,Muscle,Muscle
0.5,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,6.084367914495976,1.5586570054868045,229,25,25,0,625,Muscle,Muscle
1.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,3.418113771457379,0.6389225692041985,214,24,24,0,576,Muscle,Muscle
1.5,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,2.5311758509354902,0.25551952826638435,213,24,24,0,576,Cavity,Cavity
2.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,2.0878206153780305,0.30770755002630684,241,26,26,0,676,Connective tissue,Connective tissue
2.5,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,1.9998449555350337,0.3300214808184823,249,26,26,0,676,Connective tissue,Connective tissue
3.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,1.9345911102047109,0.32716268263513587,265,26,26,0,676,Connective tissue,Connective tissue
0.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,40.27430294037059,6.37983639176715,177,23,23,0,529,Muscle,Muscle
0.5,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,25.495714309064823,4.651217274187004,229,25,25,0,625,Muscle,Muscle
1.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,15.298382859988042,2.9230465297359958,214,24,24,0,576,Liver,Liver
1.5,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,11.34158859489116,2.537514501400456,213,24,24,0,576,Liver,Liver
2.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,8.615277252768184,1.7536452167718686,241,26,26,0,676,Liver,Liver
2.5,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,7.780726985410148,1.5357089374278454,249,26,26,0,676,Liver,Liver
3.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,6.799658264790467,1.2136124008221854,265,26,26,0,676,Connective tissue,Liver
0.0,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,Adipoq_Adipor2,19.528556917852477,3.5864072886887013,177,23,23,0,529,Muscle,Muscle
0.5,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,Adipoq_Adipor2,13.086157755195696,2.828204251071131,229,25,25,0,625,Muscle,Muscle
