pair_id,center_time,normalized_prominence
"[""Bmp8a"",""Acvr1_Acvr2b""]",0.5,-0.11202238203968878
"[""Bmp8a"",""Acvr1_Bmpr2""]",0.5,-0.13574189833402667
"[""Bmp8a"",""Bmpr1a_Acvr2a""]",0.5,-0.08775814594027498
"[""Bmp8a"",""Bmpr1a_Acvr2b""]",0.5,-0.11250029405655848
"[""Bmp8a"",""Bmpr1a_Bmpr2""]",0.5,-0.12404083619892581
"[""Bmp8a"",""Bmpr1b_Acvr2a""]",0.5,-0.08992565734543778
"[""Bmp8a"",""Bmpr1b_Acvr2b""]",0.5,-0.1154866283634875
"[""Bmp8a"",""Bmpr1b_Bmpr2""]",0.5,-0.15659711224193107
"[""Bmp8b"",""Acvr1_Acvr2a""]",0.5,-0.03470091255057772
"[""Bmp8b"",""Acvr1_Acvr2b""]",0.5,-0.015444265731075046
"[""Bmp8b"",""Acvr1_Bmpr2""]",0.5,-0.04532801405078757
"[""Bmp8b"",""Bmpr1a_Acvr2a""]",0.5,0.016310764029518476
"[""Bmp8b"",""Bmpr1a_Acvr2b""]",0.5,-0.017934490169365214
"[""Bmp8b"",""Bmpr1a_Bmpr2""]",0.5,-0.03161602949029274
"[""Bmp8b"",""Bmpr1b_Acvr2a""]",0.5,0.008764465361008833
"[""Bmp8b"",""Bmpr1b_Acvr2b""]",0.5,-0.02253252840180131
"[""Bmp8b"",""Bmpr1b_Bmpr2""]",0.5,-0.07770778542653323
"[""Btc"",""Egfr""]",0.5,-0.1389168201963598
"[""Btc"",""Egfr_Erbb2""]",0.5,-0.03564844491011809
"[""Btc"",""Erbb2_Erbb4""]",0.5,-0.0562017228296523
"[""Btc"",""Erbb4""]",0.5,-0.12489710216985744
"[""Btla"",""Tnfrsf14""]",0.5,-0.1186198483433642
"[""C3"",""C3ar1""]",0.5,0.18951681553702038
"[""C3"",""Cr2""]",0.5,0.03968354755140757
"[""C3"",""Itgam_Itgb2""]",0.5,0.19214152238377624
"[""C3"",""Itgax_Itgb2""]",0.5,0.15202712371358929
"[""C4b"",""Cr2""]",0.5,0.06920372338222958
"[""Cadm1"",""Cadm1""]",0.5,-0.13557624160847725
"[""Cadm3"",""Cadm3""]",0.5,0.5046025960681828
"[""Calca"",""Calcr""]",0.5,0.02981759400060613
"[""Calca"",""Calcrl""]",0.5,-0.16357519769519985
"[""Calcb"",""Calcr""]",0.5,0.2748424419079636
"[""Calcb"",""Calcrl""]",0.5,-0.03437129487582069
"[""Cck"",""Cckar""]",0.5,0.10361730779827827
"[""Cck"",""Cckbr""]",0.5,0.23659144302554624
"[""Ccl1"",""Ackr1""]",0.5,0.7084503565154201
"[""Ccl1"",""Ackr4""]",0.5,-0.022401125431060098
"[""Ccl11"",""Ackr1""]",0.5,0.5135778633089523
"[""Ccl11"",""Ackr2""]",0.5,0.011902102665139802
"[""Ccl12"",""Ccr2""]",0.5,0.026665858979641466
"[""Ccl17"",""Ackr1""]",0.5,0.39850485087188825
"[""Ccl17"",""Ackr2""]",0.5,-0.03122222841952149
"[""Ccl17"",""Ccr4""]",0.5,-0.105132659547308
"[""Ccl2"",""Ackr1""]",0.5,0.3121654085652037
"[""Ccl2"",""Ackr2""]",0.5,-0.061008521882746636
"[""Ccl2"",""Ccr2""]",0.5,-0.054069101813495224
"[""Ccl20"",""Ccr6""]",0.5,0.048699400791812786
"[""Ccl22"",""Ackr2""]",0.5,-0.09738111047409792
"[""Ccl22"",""Ccr4""]",0.5,-0.15364066608178578
"[""Ccl24"",""Ackr2""]",0.5,0.00819080140030759
"[""Ccl25"",""Ackr4""]",0.5,-0.10976101292602758
"[""Ccl25"",""Ccr9""]",0.5,-0.16934438717365757
"[""Ccl27a"",""Ccr10""]",0.5,0.11315351597153678
"[""Ccl27a"",""Ccr2""]",0.5,0.17395016391220264
"[""Ccl28"",""Ccr10""]",0.5,-0.02619428114456468
"[""Ccl3"",""Ackr2""]",0.5,0.012056476554301754
"[""Ccl3"",""Ccr1""]",0.5,0.02382987306094131
"[""Ccl3"",""Ccr5""]",0.5,0.02695943700435499
"[""Ccl4"",""Ackr2""]",0.5,0.03965106351626324
"[""Ccl4"",""Ccr5""]",0.5,0.05425203655220334
"[""Ccl5"",""Ackr1""]",0.5,0.3893063109602257
"[""Ccl5"",""Ackr2""]",0.5,0.008159877412579841
"[""Ccl5"",""Ccr1""]",0.5,0.03463847551480559
"[""Ccl5"",""Ccr4""]",0.5,-0.09921614806706869
"[""Ccl5"",""Ccr5""]",0.5,0.021691591670887078
"[""Ccl6"",""Ccr1""]",0.5,0.04982666937141933
"[""Ccl6"",""Ccr2""]",0.5,0.09986644352804352
"[""Ccl7"",""Ackr1""]",0.5,0.3396885281363671
"[""Ccl7"",""Ccr1""]",0.5,-0.0277642628848902
"[""Ccl7"",""Ccr2""]",0.5,-0.04804119721671485
"[""Ccl9"",""Ccr1""]",0.5,0.12027905720089427
"[""Cd1d1"",""Ceacam5""]",0.5,-0.031189659297067407
"[""Cd200"",""Cd200r1""]",0.5,0.1825008183520398
"[""Cd200"",""Cd200r2""]",0.5,0.1226841341468059
"[""Cd200"",""Cd200r3""]",0.5,0.27453007277464403
"[""Cd200"",""Cd200r4""]",0.5,0.25970962387014296
"[""Cd22"",""Ptprc""]",0.5,0.0047809966293432815
"[""Cd226"",""Nectin2""]",0.5,-0.06129017132752945
"[""Cd226"",""Pvr""]",0.5,-0.07078260665777569
"[""Cd274"",""Pdcd1""]",0.5,0.07837546634780879
"[""Cd34"",""Selp""]",0.5,-0.10255709266428581
