cluster,time,mean,std,n_profiles
1,0.0,0.9973257108390626,0.02399755783159601,1634
1,0.5,0.5711843259471284,0.14645867410659566,1634
1,1.0,0.27446784657897233,0.11819167871924087,1634
1,1.5,0.1506853847986497,0.09415061103920089,1634
1,2.0,0.07433206181830279,0.05903482398494782,1634
1,2.5,0.03798689596857229,0.03743714930231543,1634
1,3.0,0.0010539723707295092,0.015515728621193806,1634
2,0.0,0.6215368421977763,0.28102883635497955,105
2,0.5,0.9946481165104991,0.021191328011539425,105
2,1.0,0.7467190385474849,0.10906314958908599,105
2,1.5,0.6212139841783495,0.13221851580059468,105
2,2.0,0.4000879187072092,0.12313527919006537,105
2,2.5,0.24635563277100145,0.08561246852745145,105
2,3.0,0.0026401187906159823,0.016118900061288823,105
3,0.0,0.00929201312597303,0.038311951593012546,18
3,0.5,0.7732795242050816,0.17962963834447335,18
3,1.0,0.8365178094875708,0.13494322322589955,18
3,1.5,0.9535357412014466,0.06477568915555319,18
3,2.0,0.8405443430387385,0.11074034464897366,18
3,2.5,0.7605399570602819,0.16794536230586707,18
3,3.0,0.4595838937637542,0.2364474641864762,18
