variant,reference,timepoint,n_cells,raw_coordinate_rmsd,rigid_adjusted_coordinate_rmsd,rigid_adjusted_rmsd_fraction_of_baseline_radius,frame_rotation_deg,frame_translation_l2
baseline_repeat,accepted_baseline,D4,147,0.0,6.162285132626906e-17,2.5881883196807424e-16,6.36110936292703e-15,0.0
baseline_repeat,accepted_baseline,D7,528,0.0,4.2315463907072437e-17,1.0345088469375299e-16,-1.590277340731758e-15,0.0
baseline_repeat,accepted_baseline,D10,908,0.0,6.769679625738355e-17,1.214617650683739e-16,1.5902773407317588e-15,0.0
baseline_repeat,accepted_baseline,D14,1967,0.0,8.449393294844131e-17,1.0875350124946276e-16,-4.969616689786746e-17,0.0
translate_low,baseline_repeat,D4,147,0.010189984764771624,0.0023191468982258997,0.009740524471728481,-1.4691750342827081,0.012636692900585788
translate_low,baseline_repeat,D7,528,0.008970228814986407,0.0031525712446481766,0.007707260046472769,-0.9350405060393098,0.009822209314520622
translate_low,baseline_repeat,D10,908,0.009675629291233964,0.0034936059814944568,0.006268236791478352,-0.8336407945421702,0.00985114818511362
translate_low,baseline_repeat,D14,1967,0.010814192717385793,0.005251871630399588,0.006759768518139693,-0.7890602500002278,0.00801676399137328
translate_moderate,baseline_repeat,D4,147,0.006613132340207307,0.0024557558144154856,0.010314288251943905,-0.6094185653522212,0.008306795189694249
translate_moderate,baseline_repeat,D7,528,0.0066110568157971145,0.0032923981840734147,0.008049102466523446,-0.7121863844966823,0.006314394742025042
translate_moderate,baseline_repeat,D10,908,0.007888094802233146,0.003605655997687059,0.006469277217246048,-0.7461637473260219,0.006763949686797018
translate_moderate,baseline_repeat,D14,1967,0.008412498197148333,0.005412742626624255,0.006966828167021197,-0.528673027852877,0.005616545139857798
translate_strong,baseline_repeat,D4,147,0.010866502876757347,0.0024723268594480743,0.010383887409196739,-2.233791970926864,0.011743576176751341
translate_strong,baseline_repeat,D7,528,0.010228129037644145,0.0035954081263018067,0.008789887127737829,-0.5012043964256063,0.013060311331053905
translate_strong,baseline_repeat,D10,908,0.010751048207069486,0.0032917163282342337,0.005906005859001188,-0.4420877838445794,0.013820543742466544
translate_strong,baseline_repeat,D14,1967,0.012142168175252701,0.005027040963720517,0.006470385347817628,-0.3926055808438409,0.014696335403455373
rotate_low,baseline_repeat,D4,147,0.021698571716384552,0.004039855117124005,0.016967578750913145,-6.835173532001766,0.010631414906268169
rotate_low,baseline_repeat,D7,528,0.01270822121564784,0.0064249947711477896,0.015707529396053375,1.4881647343046331,0.01135776283529447
rotate_low,baseline_repeat,D10,908,0.02776601755980769,0.0071500414009244275,0.012828622577150528,-3.69088728513075,0.012912029238290733
rotate_low,baseline_repeat,D14,1967,0.02154597860590157,0.009995225596914637,0.01286501576516768,1.758787579473112,0.01292004761259071
rotate_moderate,baseline_repeat,D4,147,0.021863139757852958,0.005585540793532724,0.023459530238840315,-6.6361104497368935,0.012286926868953593
rotate_moderate,baseline_repeat,D7,528,0.02548663575088607,0.008763876579449584,0.0214255192258306,4.41704358145439,0.013173264134570449
rotate_moderate,baseline_repeat,D10,908,0.04235454627846234,0.010567690109368616,0.018960576634961705,-5.782855465197891,0.016426012160231977
rotate_moderate,baseline_repeat,D14,1967,0.0461383269336164,0.014327396760200287,0.018441023007093132,4.5600943945029195,0.010359236152497618
rotate_strong,baseline_repeat,D4,147,0.2314714312570365,0.22606259331057865,0.9494733705607676,-19.401723437438555,0.06699945047957163
rotate_strong,baseline_repeat,D7,528,0.07974593869044364,0.01192382149163488,0.029150806072903445,13.142288467435773,0.06278740630733379
rotate_strong,baseline_repeat,D10,908,0.07306944678578793,0.015684447103490793,0.028141075126635044,-8.262471809525952,0.0628184708140391
rotate_strong,baseline_repeat,D14,1967,0.10836466000636685,0.01965287620702466,0.02529553333066409,10.029985523038873,0.06950249673245355
translate_rotate_low,baseline_repeat,D4,147,0.019184978006896797,0.0038558368455715334,0.016194693480612584,-5.983390158503715,0.009820901231135496
translate_rotate_low,baseline_repeat,D7,528,0.012110862842683937,0.0064035040936066155,0.015654989983767006,1.7383629388626889,0.00770125171101845
translate_rotate_low,baseline_repeat,D10,908,0.025111342259812694,0.0072112956988048035,0.012938525195145732,-3.428492163878466,0.007635346258767018
translate_rotate_low,baseline_repeat,D14,1967,0.0237427656284693,0.00979429914226127,0.012606400090944905,2.197278650590459,0.0076543833315984204
translate_rotate_moderate,baseline_repeat,D4,147,0.04060423635829565,0.006040077760087482,0.025368606567475964,-13.589398673741037,0.011118074263669103
translate_rotate_moderate,baseline_repeat,D7,528,0.02590894189601102,0.008901454103067162,0.021761862378382815,4.855174086716175,0.0030130656508205885
translate_rotate_moderate,baseline_repeat,D10,908,0.03708321204296289,0.010849088895762488,0.019465463057556188,-5.211559365413085,0.0015574333945232218
translate_rotate_moderate,baseline_repeat,D14,1967,0.04678139699740925,0.014553874701575842,0.01873252641119425,4.669116831992583,0.005910275222781564
translate_rotate_strong,baseline_repeat,D4,147,0.04598036372621627,0.007164001382550931,0.03008913787893952,-14.859250375081023,0.021271241363736385
translate_rotate_strong,baseline_repeat,D7,528,0.056671628400822044,0.011986735373758748,0.029304615015646594,10.815887759098285,0.019547542073660728
translate_rotate_strong,baseline_repeat,D10,908,0.06857069596503021,0.014870977716608511,0.026681546271175603,-9.478888439616581,0.027246226530489775
translate_rotate_strong,baseline_repeat,D14,1967,0.09479311443807192,0.019715759739369256,0.025376471737420244,9.633891262170893,0.026645286469380886
