dataset,n_scored_pairs,n_multisubunit_pairs,pooled_spearman,min_per_time_spearman,min_top10_jaccard
Zebrafish,1832,973,0.998558096968551,0.954636383167269,1.0
MOSTA,1757,887,0.9847451960440525,0.9825945790454023,1.0
ARISTA,531,293,0.9601058481896767,0.9504531060284263,0.6666666666666666
Chicken Heart,745,386,0.977108809078746,0.9571195880357727,0.42857142857142855
