dataset,target,method,space,sliced_w2,projection_sd,n_projection_repeats,display_name
zebrafish,3,wot,state,0.04709352260695486,0.0002738245574502003,5,Waddington-OT
mosta,1,CytoBridge-0.015,joint,0.05143740291474126,0.0008494246121392042,5,CytoBridge
mosta,2,CytoBridge-0.015,joint,0.05395540315928214,0.0010942153279477594,5,CytoBridge
mosta,1,exact_ot_displacement,joint,0.045087572956222996,0.0007276204069935132,5,Linear OT displacement
mosta,2,exact_ot_displacement,joint,0.04951060689634898,0.0009271204457693107,5,Linear OT displacement
mosta,1,moscot,joint,0.05537664842446784,0.0005946859968833584,5,MOSCOT
mosta,2,moscot,joint,0.060293849629379434,0.0006495620499281961,5,MOSCOT
mosta,1,paste,joint,0.04949752171362162,0.0006908848529190926,5,PASTE
mosta,2,paste,joint,0.0597950639433811,0.000816654614965326,5,PASTE
mosta,1,random_independent_pairs,joint,0.06410571299827926,0.0007043526546388386,5,Random interpolation
mosta,2,random_independent_pairs,joint,0.07201704896386796,0.0006786227819714119,5,Random interpolation
mosta,1,spateo,joint,0.06264946590071076,0.0006260618869403179,5,Spateo
mosta,2,spateo,joint,0.06365840345746063,0.0008224958923621118,5,Spateo
mosta,1,stvcr,joint,0.047728942072083405,0.0006251379491769006,5,stVCR
mosta,2,stvcr,joint,0.056699868633708614,0.0014379419783554185,5,stVCR
mosta,1,CytoBridge-0.015,spatial,0.04973698848077734,0.00042473178323414445,5,CytoBridge
mosta,2,CytoBridge-0.015,spatial,0.06975839855139991,0.00020248898471914546,5,CytoBridge
mosta,1,exact_ot_displacement,spatial,0.036285569075652405,0.00022400586012148876,5,Linear OT displacement
mosta,2,exact_ot_displacement,spatial,0.059134198148873066,0.00011989512069206701,5,Linear OT displacement
mosta,1,moscot,spatial,0.04984913557163616,0.0003927633287156894,5,MOSCOT
mosta,2,moscot,spatial,0.08056148487670525,0.0001285751892066482,5,MOSCOT
mosta,1,paste,spatial,0.10544777578641829,0.0007124345263063795,5,PASTE
mosta,2,paste,spatial,0.20959793409091648,0.0004253951868187888,5,PASTE
mosta,1,random_independent_pairs,spatial,0.16943838482958,0.00018171404072412693,5,Random interpolation
mosta,2,random_independent_pairs,spatial,0.24442131316959567,0.00047320564296151154,5,Random interpolation
mosta,1,spateo,spatial,0.11312091462556657,0.00018541544614796119,5,Spateo
mosta,2,spateo,spatial,0.12257558597453122,0.0006217101508247429,5,Spateo
mosta,1,stvcr,spatial,0.082949906724098,0.0005362834444793241,5,stVCR
mosta,2,stvcr,spatial,0.04517617545446348,0.00015512953060305796,5,stVCR
mosta,1,CytoBridge-0.015,state,0.05144806574952167,0.0017612560362374025,5,CytoBridge
mosta,2,CytoBridge-0.015,state,0.05211167689014612,0.0011906555150632608,5,CytoBridge
mosta,1,exact_ot_displacement,state,0.04700764692632092,0.001069938724382624,5,Linear OT displacement
mosta,2,exact_ot_displacement,state,0.047739975680898786,0.0010843963737144915,5,Linear OT displacement
mosta,1,mioflow,state,0.06942174696726819,0.001621579484990376,5,MIOFlow
mosta,2,mioflow,state,0.057739217309916234,0.0009019858986616645,5,MIOFlow
mosta,1,moscot,state,0.06066365467656341,0.0008499328414162432,5,MOSCOT
mosta,2,moscot,state,0.062001324393194744,0.0008029096619628247,5,MOSCOT
mosta,1,paste,state,0.04661876366330248,0.001102165880114743,5,PASTE
mosta,2,paste,state,0.04732505920806038,0.0011055086812946375,5,PASTE
mosta,1,random_independent_pairs,state,0.056795591127000424,0.0009016277065786062,5,Random interpolation
mosta,2,random_independent_pairs,state,0.05519247975843002,0.0009594804470480931,5,Random interpolation
mosta,1,spateo,state,0.061520856042490676,0.0008258253017271223,5,Spateo
mosta,2,spateo,state,0.06055521061685985,0.0007850848347196083,5,Spateo
mosta,1,stories,state,0.056311245060815085,0.0008671749147484425,5,STORIES
mosta,2,stories,state,0.061487632470173206,0.0009107889556194173,5,STORIES
mosta,1,stvcr,state,0.047040226209862576,0.0008422581787108198,5,stVCR
mosta,2,stvcr,state,0.05550089310064724,0.0014635336224028755,5,stVCR
mosta,1,wot,state,0.0584301502316632,0.0009023866682406168,5,Waddington-OT
mosta,2,wot,state,0.05779919979571346,0.0008838977816919845,5,Waddington-OT
arista,1,CytoBridge-0.015,joint,0.04857350444759282,0.0014868676259466803,5,CytoBridge
arista,2,CytoBridge-0.015,joint,0.06973337921405057,0.0012422185094217398,5,CytoBridge
