module,pathway,observed_lr_score,null_mean,null_sd,empirical_p_greater,n_permutations,fold_over_null_mean,adjusted_p_value,log2_fold_over_null
N1_sfrpEGC_VLMC,AGRN,11.253510509245876,4.051129136368757,0.9344996597259472,0.0005,1999,2.77787010249024,0.005,1.473979138241299
N1_sfrpEGC_VLMC,LAMININ,9.122966307655766,3.4991439966618048,0.8783620829492812,0.0005,1999,2.6071994511683734,0.005,1.3825009534929085
N1_sfrpEGC_VLMC,TENASCIN,4.609291379588348,1.8130634571859183,0.482000487277946,0.001,1999,2.5422669908876188,0.0072727272727272,1.3461155512722702
N1_sfrpEGC_VLMC,FGF,6.119122103465765,2.758726749461581,0.9178471460795876,0.0035,1999,2.218096484061,0.02,1.149322122059067
N1_sfrpEGC_VLMC,THBS,4.6428283120892,2.808583145312719,0.6315950549843486,0.0065,1999,1.6530855851063824,0.0273684210526315,0.7251614191324717
N2_reaEGC_wntEGC,GRN,7.410522198126733,1.2497569232748165,0.684457036129906,0.0005,1999,5.929570831028867,0.0057142857142857,2.5679276895347667
N2_reaEGC_wntEGC,L1CAM,17.81940570673463,4.109034438830207,2.3865303434372542,0.0005,1999,4.336640632247318,0.0057142857142857,2.1165778952287333
N2_reaEGC_wntEGC,NRXN,17.857139674635153,4.875315015429192,1.9576728039197129,0.0005,1999,3.662766327534042,0.0057142857142857,1.8729336647753516
N2_reaEGC_wntEGC,SEMA3,2.4861106085115403,0.5802228043744675,0.425995612251849,0.002,1999,4.284751632938302,0.0177777777777777,2.0992115804607527
N2_reaEGC_wntEGC,FN1,1.746046369447262,0.3375593651558295,0.3431148403709042,0.0025,1999,5.172560887597429,0.0181818181818181,2.3708787225343624
