method,normalization,adjusted_rand_index_vs_primary,silhouette,minimum_cluster_size,maximum_cluster_size,cluster_counts
kmeans,zscore,0.6457400126215326,0.2212210346349626,225,306,1:306;2:225
ward,minmax,0.6755337937114703,0.20598855257450222,176,355,1:355;2:176
complete,minmax,0.02227471924079553,0.1449006450646812,37,494,1:37;2:494
average,minmax,-0.0011632445021789904,0.41430932768565654,1,530,1:1;2:530
single,minmax,-0.0011632445021789904,0.41430932768565654,1,530,1:1;2:530
