cluster,time,mean_normalized_score,std_normalized_score,n_pairs
1,0.0,0.21050340893252584,0.2736484696496184,217
1,0.5,0.338168570056288,0.1716399856301513,217
1,1.0,0.37424887998600603,0.2678246363120856,217
1,1.5,0.6779070890534792,0.22338981360338858,217
1,2.0,0.3333170434674046,0.2772596182656621,217
1,2.5,0.5343862779178672,0.24067160834084245,217
1,3.0,0.15867644184309737,0.2100273725000783,217
1,3.5,0.8655180658769012,0.17947626017338567,217
1,4.0,0.6185839437631411,0.28179972224950534,217
2,0.0,0.14135437263757863,0.20911811318198864,314
2,0.5,0.1425320195551857,0.10904287590389651,314
2,1.0,0.060875621575781656,0.08966609125431228,314
2,1.5,0.3503320234775113,0.16800358863413958,314
2,2.0,0.2829725381386968,0.23197930267140085,314
2,2.5,0.6558091543764382,0.2536980155322893,314
2,3.0,0.377552814700658,0.2683410382996238,314
2,3.5,0.9301714826083884,0.1471603798223148,314
2,4.0,0.23098156725379956,0.1781384597909888,314
