pair,time_0.0,time_0.5,time_1.0,time_1.5,time_2.0,time_2.5,time_3.0,time_3.5,time_4.0
ADIPOQ_ADIPOR1,0.6281003416427778,0.43155885040602593,0.2798988595370311,0.35137683140904724,0.6724016239599847,0.2710947310587229,0.0,1.0,0.33740587110728293
ADIPOQ_ADIPOR2,0.6615295868930008,0.235425771559505,0.0,0.2748129075698729,0.41460173506414627,0.5433588601846262,0.06713419489680808,1.0,0.3181101286758267
ADM_CALCR,0.0,0.29324863082295766,0.18347360057487905,0.6545984956790422,0.44968042998518587,0.40459201410377016,0.11673923514897168,1.0,0.4659738110614123
ADM_CALCRL,0.1390620034455154,0.12995092575330286,0.0,0.3673435286131794,0.44923348396496066,0.5073351461428685,0.2976733243176385,1.0,0.49081260052569864
AGRN_DAG1,0.04256136713002198,0.01733204218063226,0.0,0.2066543203429996,0.2250546553705432,0.42387524739431265,0.4088877222335377,1.0,0.6071478929850239
AGT_AGTR1,0.02020690384511848,0.062791603364671,0.0,0.1481127585472171,0.3671593400331562,1.0,0.17896775618397026,0.4306470572777165,0.014282551624936005
ANGPT1_TEK,0.0,0.2644126918622645,0.06752826444865773,0.4076949133751769,0.3451031485234469,0.8656759029363067,0.44834737822952975,1.0,0.45900565606060595
ANGPT2_ITGA5_ITGB1,0.0,0.1678133486346373,0.09097690179808808,0.32213160729813733,0.1465249899047247,0.3340738210258869,0.026380224267847086,1.0,0.2678250315184449
ANGPT2_TEK,0.10858463524743213,0.30148463354800437,0.0,0.2335857984721502,0.1624458884052185,0.5248929116337467,0.1520614677202669,1.0,0.1751148755240658
ANGPTL1_ITGA1_ITGB1,0.09031285407919709,0.32361548765226233,0.4644008135666325,1.0,0.9476790477608142,0.9047760001948949,0.0,0.8084089463904082,0.07298025715464508
ANGPTL2_ITGA5_ITGB1,0.1063196679307542,0.0,0.12291451020576834,0.4484713843615561,0.12991493405398136,0.49912096341368584,0.09388069845550702,1.0,0.2296849542797988
ANGPTL4_CDH5,0.6189434429081232,0.28594262829316747,0.09956342849390361,0.5466678376355246,0.20229437030396769,1.0,0.401044171818206,0.9110306607107649,0.0
ANGPTL4_ITGA5_ITGB1,0.7329989948643729,0.3866184534215551,0.750558211123646,0.7926619905130807,0.43698868025929216,0.5713920787271407,0.0,1.0,0.4859001585775683
ANGPTL4_SDC2,0.9782357384553881,0.043260319863910025,0.0,0.5354645130075827,0.34110205518816167,0.7424535924025514,0.07657121313892731,1.0,0.13408781690751742
ANGPTL4_SDC3,0.8357304183396363,0.17856917446081905,0.15395680677977125,0.4283213959391498,0.23986284398145225,0.557035348844814,0.0,1.0,0.2927165606170795
ANGPTL4_SDC4,1.0,0.033626709778010556,0.0,0.3389388302953548,0.22358977128630772,0.3251567925491078,0.08470586351541089,0.9626765740192382,0.07990841441279369
BAG6_NCR3,0.07340944606385724,0.2002616262726408,0.09406796340134388,0.22918274716504053,0.0,0.40574048955971137,0.3635109637999648,1.0,0.19400879064258114
BMP5_BMPR1A_ACVR2A,0.8357100471753186,0.41600959132301785,0.23155767354717988,0.7855476545817909,0.6116261721421453,1.0,0.08804396131519061,0.4124598830926367,0.0
BMP5_BMPR1A_BMPR2,0.8357100471753186,0.41600959132301785,0.23155767354717988,0.7855476545817909,0.6116261721421453,1.0,0.08804396131519061,0.4124598830926367,0.0
BMP6_BMPR1A_ACVR2A,0.5369016196252913,0.4492754972616429,0.5093159443513574,1.0,0.12283637296461562,0.6976955321303872,0.2007303499025057,0.5939040855421931,0.0
BMP6_BMPR1A_BMPR2,0.5369016196252913,0.4492754972616429,0.5093159443513574,1.0,0.12283637296461562,0.6976955321303872,0.2007303499025057,0.5939040855421931,0.0
BMP7_BMPR1A_ACVR2A,0.0,0.2807015957182885,0.3615083929220855,0.5140398727294263,0.3093631754758418,0.7009965695337628,0.7647301241424043,1.0,0.19524576328180387
BMP7_BMPR1A_BMPR2,0.0,0.2807015957182885,0.3615083929220855,0.5140398727294263,0.3093631754758418,0.7009965695337628,0.7647301241424043,1.0,0.19524576328180387
BTC_ERBB2_ERBB4,0.42850362089072597,0.5489454391298996,0.47047268381060137,1.0,0.0,0.5818414637192022,0.24885955213537145,0.8045427757359667,0.7740628076887192
BTC_ERBB4,0.2947765514435473,0.5882005400026781,0.42289344356665604,1.0,0.014699233647493804,0.3705723476661221,0.0,0.3014187680098956,0.466562041230104
CALCB_CALCR,0.0,0.18875572073110725,0.33074216865643086,0.5656656673785273,0.1828528998641209,0.47709213452884947,0.2981828077860756,1.0,0.12749565331042276
CALCB_CALCRL,0.0,0.09923808718770687,0.2765478837782268,0.36068973118692066,0.04588318121322923,0.5645460164637637,0.21962510174542665,1.0,0.08827130988937916
CCK_CCKAR,0.0,0.068239835200556,0.050965701702431795,0.10742755153589104,0.04127377721488152,0.4415316474353145,0.2992634151409374,1.0,0.08572257683215585
CCL19_ACKR4,1.0,0.36485026536547144,0.20455072019841575,0.5347490422509632,0.0,0.8503963917443995,0.26205803495669283,0.7422714495009783,0.0660195984649614
CD34_SELP,0.2611590161423359,0.2532995569308702,0.16317454532872086,0.5333145187072189,1.0,0.6427030441101689,0.0,0.5840230183136783,0.20604521155377906
CD40LG_ITGA5_ITGB1,0.49149070058933275,0.6191940866774996,0.4036213465211562,1.0,0.6009420854440055,0.9246288401958477,0.0,0.924402875650878,0.3135585710191211
CD40LG_ITGAM_ITGB2,0.20699035138223704,0.22273985786402617,0.0,0.638730416913611,0.7432409606326006,1.0,0.024731620603083166,0.27033726599669883,0.03037014719476693
CDH15_CDH15,0.0,0.16691155852421402,1.0,0.3619601077027605,0.09940768233769937,0.32490527359458526,0.3975299928609607,0.8351363745855142,0.3174417476096625
CDH1_CDH1,0.8914700285960808,0.5993509535558358,1.0,0.9819857343241724,0.44050487847559533,0.7033019592853099,0.0,0.7502481302953566,0.6157953324019374
CDH1_ITGAE_ITGB7,0.13591319130224247,0.3552883039199771,0.3655892412655164,0.8747913744305781,0.2529293319211654,1.0,0.0,0.8171910329704803,0.13701636716846458
CDH2_CDH2,0.3743495112220143,0.2179587057347159,0.0,0.5012759255972701,0.31919581398395697,0.689074287201125,0.37773408776610273,1.0,0.3814325540866037
CDH5_CDH5,0.538155041078995,0.28049135277087384,0.05321398279326534,0.30486911281230833,0.36957939715362914,1.0,0.4680616946649558,0.5711404709368534,0.0
CLDN11_CLDN11,1.0,0.022102772461241694,0.0,0.023694392639803264,0.02626831423237788,0.029934515306432857,0.03192377263438119,0.057315992894059135,0.010084741423980819
CNTN1_NRCAM,0.3077555265274646,0.5524794366399877,0.09502271228273337,0.5262595653097548,0.0,0.847062190174544,0.19388443105340647,1.0,0.26047878693467974
CNTN2_CNTN2,0.005579497030923445,0.08148729297862464,0.042265238597725324,0.09888428646977716,0.0,0.21722135711266047,0.39787285552881047,1.0,0.22007375510535962
CNTN2_L1CAM,0.014657977965343336,0.11102513337445169,0.032196211804852395,0.127036877972144,0.0,0.26790454728743757,0.28916058916543236,1.0,0.2207909608217059
COL1A1_CD44,0.0,0.11007343304374426,0.07173907550222383,0.44308035483537705,0.6314822980856688,1.0,0.0624489943081391,0.7343300766325324,0.21575894310051819
COL1A1_ITGA10_ITGB1,0.0,0.09195318392707111,0.07085723314466749,0.32524219392645193,0.06350154877814863,1.0,0.10709559355768805,0.7458762842677457,0.06788810684444516
COL1A1_ITGA1_ITGB1,0.05222196782495807,0.09519406801421819,0.007241150432985287,0.2930699574035911,0.7475812885439757,1.0,0.2408905203890903,0.4390127390559736,0.0
COL1A1_ITGA3_ITGB1,0.00016482665960116245,0.10128876248274848,0.0,0.33159542528160324,0.436594023649236,0.9908854715696126,0.24531418652368922,1.0,0.0949098479348393
COL1A1_ITGA9_ITGB1,0.0,0.09605459919730053,0.011110199510649559,0.35195031157155016,0.48615369290773547,1.0,0.15010966856034233,0.5430560050777979,0.016511914125679084
COL1A1_SDC4,0.028228938072038152,0.05806125358824892,0.0,0.29594338751032906,0.4744933653695334,1.0,0.2149739303265857,0.7835823977507275,0.03861368868076653
COL1A2_CD44,0.0,0.11230833672153297,0.10638605295921072,0.3276490759376742,0.4688609119350493,0.83772509391527,0.15916628103835376,1.0,0.21320061761054757
COL1A2_ITGA10_ITGB1,0.0,0.09953572299265283,0.060981919481960946,0.24223584157986253,0.03685319341705408,0.8324323786223472,0.2155950888601803,1.0,0.1108099004071197
COL1A2_ITGA1_ITGB1,0.09321151542075772,0.10208115911700513,0.034853408339572865,0.28401267180907863,0.6707917302395597,1.0,0.6233105406160335,0.7005495215653287,0.0
COL1A2_ITGA3_ITGB1,0.0,0.048218497720344304,0.004051134682423231,0.1624151805129533,0.2076994952241079,0.5944185741649343,0.6267717606098298,1.0,0.07204056399340009
COL1A2_ITGA9_ITGB1,0.0,0.09530935365926514,0.018543618432011844,0.31746730433302867,0.3828783099683691,1.0,0.5424113381379492,0.8802833155545728,0.027968125923720052
COL1A2_SDC4,0.04911793043689591,0.03697131491609554,0.0,0.18935619676163212,0.3367614746343504,0.7768906406470264,0.6323736108838264,1.0,0.03564533959657258
COL4A1_CD44,0.0,0.20461805411600162,0.09421362930892663,0.4481308570295323,0.2916589298263489,0.8850331719640128,0.027719104761115977,1.0,0.8292114397317272
COL4A1_ITGA10_ITGB1,0.034656955864673204,0.20182815968473827,0.11641010426016422,0.3360320466517472,0.0,0.8784692388057254,0.1875617984847076,1.0,0.345346704003209
COL4A1_ITGA1_ITGB1,0.2695784253359821,0.15383144260832837,0.0,0.2951515131978826,0.5470634529849956,1.0,0.362734548128359,0.6551565911379281,0.0013117094775600261
