condition,condition_label,space,n_target_times,w1_mean,w1_median,w1_relative_to_seed42
formal_seed42_cutoff1p0,Seed 42,joint,4,4.127925994075685,4.0828644994127306,1.0
formal_seed42_cutoff1p0,Seed 42,spatial,4,0.06518699775110659,0.06176412546913335,1.0
formal_seed42_cutoff1p0,Seed 42,state,4,4.0425113825003995,3.9975245813470552,1.0
formal_seed43_cutoff1p0,Seed 43,joint,4,4.1933658844283235,4.141517995259967,1.015852970825193
formal_seed43_cutoff1p0,Seed 43,spatial,4,0.06633748411265467,0.0638448754157661,1.0176490159270841
formal_seed43_cutoff1p0,Seed 43,state,4,4.1007394123144465,4.051392584233653,1.0144039247647167
formal_seed44_cutoff1p0,Seed 44,joint,4,4.174677884587705,4.138355912543439,1.0113257579179271
formal_seed44_cutoff1p0,Seed 44,spatial,4,0.06517921225758438,0.06094360829253816,0.9998805667726571
formal_seed44_cutoff1p0,Seed 44,state,4,4.089991053921249,4.05656403115117,1.0117450928218494
formal_seed46_cutoff1p0,Seed 46,joint,4,4.184036365831796,4.144409110190164,1.0135928725070749
formal_seed46_cutoff1p0,Seed 46,spatial,4,0.06616805985231818,0.061407944539602105,1.0150499660217123
formal_seed46_cutoff1p0,Seed 46,state,4,4.097230562410823,4.057629189203707,1.0135359371274246
formal_seed47_cutoff1p0,Seed 47,joint,4,4.242191302638444,4.240996335190952,1.0276810458149566
formal_seed47_cutoff1p0,Seed 47,spatial,4,0.0717439471552718,0.06581563137321834,1.1005867677661823
formal_seed47_cutoff1p0,Seed 47,state,4,4.146054164957689,4.142613050639573,1.0256134795081877
formal_seed42_cutoff0p8,"0.8×, seed 42",joint,4,4.080564074752502,4.028363357560364,0.9885264611354089
formal_seed42_cutoff0p8,"0.8×, seed 42",spatial,4,0.06453713980570387,0.0612208130279817,0.9900308655434022
formal_seed42_cutoff0p8,"0.8×, seed 42",state,4,3.995418562068438,3.9411282791913607,0.988350602886161
formal_seed43_cutoff0p8,"0.8×, seed 43",joint,4,4.193322450298718,4.136054346193397,1.0158424488028341
formal_seed43_cutoff0p8,"0.8×, seed 43",spatial,4,0.06701053928244047,0.0637241150923109,1.0279740069990095
formal_seed43_cutoff0p8,"0.8×, seed 43",state,4,4.100694889000876,4.0467127089678145,1.014392910989032
formal_seed44_cutoff0p8,"0.8×, seed 44",joint,4,4.1832137367875895,4.142807071942483,1.0133935886426384
formal_seed44_cutoff0p8,"0.8×, seed 44",spatial,4,0.06577683456681938,0.06267356454666664,1.009048381365328
formal_seed44_cutoff0p8,"0.8×, seed 44",state,4,4.096842156478115,4.058490984175479,1.0134398567714384
formal_seed42_cutoff1p2,"1.2×, seed 42",joint,4,4.17582610068731,4.170181889069246,1.011603916029592
formal_seed42_cutoff1p2,"1.2×, seed 42",spatial,4,0.0675179505363474,0.06358848361602534,1.035757940473662
formal_seed42_cutoff1p2,"1.2×, seed 42",state,4,4.087877410483568,4.082844337616482,1.0112222387745284
formal_seed43_cutoff1p2,"1.2×, seed 43",joint,4,4.2043248843718874,4.160018248421114,1.0185078149186415
formal_seed43_cutoff1p2,"1.2×, seed 43",spatial,4,0.06644871632325387,0.06245503795884255,1.0193553717102406
formal_seed43_cutoff1p2,"1.2×, seed 43",state,4,4.112034055509482,4.070983157221699,1.0171978917140565
formal_seed44_cutoff1p2,"1.2×, seed 44",joint,4,4.2034388237216325,4.183086053498494,1.0182931645950828
formal_seed44_cutoff1p2,"1.2×, seed 44",spatial,4,0.06627514124613365,0.06163556740680565,1.0166926462725243
formal_seed44_cutoff1p2,"1.2×, seed 44",state,4,4.115062124400064,4.097388610835571,1.0179469480812666
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,joint,4,4.237762138231772,4.219011952037658,1.0266080700850067
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,spatial,4,0.06535011522761883,0.06020139928082985,1.0025023007983132
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,state,4,4.144124789359066,4.129091182401632,1.02513620797669
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,joint,4,4.171452688394272,4.125386573321579,1.0105444463832576
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,spatial,4,0.0675842254953717,0.0636943276425264,1.0367746303245637
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,state,4,4.081398746429447,4.038179378031696,1.0096196053021365
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,joint,4,4.4407062460752185,4.393053386330638,1.07577176830409
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,spatial,4,0.06390038080107015,0.0611922433517089,0.9802626751587957
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,state,4,4.355810626701953,4.315401730303703,1.0775011408892483
